Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type,Satisfaction_Score,Likelihood_to_Recommend,Feedback_Comments,Income_Group,Is_Business_Hours,Is_Weekend
141,2023-01-03 01:00:00,3422.0,Purchase,4.0,10,Needs Improvement,Medium,0,0
708,2023-01-03 02:00:00,2509.0,Loan Payment,8.0,7,Very Satisfied,Medium,0,0
498,2023-01-03 03:00:00,3450.0,Investment,8.0,4,Excellent,Medium,0,0
555,2023-01-03 04:00:00,3555.0,Loan Payment,10.0,5,Very Satisfied,Medium,0,0
57,2023-01-03 05:00:00,1223.0,Bill Payment,8.0,2,Very Satisfied,Low,0,0
932,2023-01-03 06:00:00,2941.0,Bill Payment,4.0,6,Needs Improvement,Medium,0,0
504,2023-01-03 07:00:00,428.0,Bill Payment,8.0,3,Good Service,Low,0,0
142,2023-01-03 08:00:00,3791.0,Purchase,6.0,7,Unsatisfactory,High,0,0
722,2023-01-03 09:00:00,4970.0,Purchase,5.0,4,Good Service,High,1,0
584,2023-01-03 10:00:00,798.0,Loan Payment,2.0,7,Very Satisfied,Low,1,0
736,2023-01-03 11:00:00,1881.0,Loan Payment,8.0,2,Unsatisfactory,Medium,1,0
539,2023-01-03 12:00:00,4600.0,Purchase,8.0,6,Very Satisfied,High,1,0
640,2023-01-03 13:00:00,2035.0,Investment,5.0,9,Unsatisfactory,Medium,1,0
106,2023-01-03 14:00:00,2456.0,Loan Payment,1.0,7,Excellent,Medium,1,0
165,2023-01-03 15:00:00,4833.0,Loan Payment,2.0,2,Good Service,High,1,0
215,2023-01-03 16:00:00,570.0,Bill Payment,3.0,9,Very Satisfied,Low,1,0
71,2023-01-03 17:00:00,2661.0,Loan Payment,1.0,5,Excellent,Medium,0,0
716,2023-01-03 18:00:00,3914.0,Loan Payment,4.0,7,Needs Improvement,High,0,0
665,2023-01-03 19:00:00,549.0,Investment,1.0,10,Needs Improvement,Low,0,0
579,2023-01-03 20:00:00,4765.0,Loan Payment,3.0,5,Needs Improvement,High,0,0
90,2023-01-03 21:00:00,3146.0,Investment,2.0,6,Very Satisfied,Medium,0,0
772,2023-01-03 22:00:00,3299.0,Bill Payment,1.0,4,Good Service,Medium,0,0
874,2023-01-03 23:00:00,2620.0,Purchase,7.0,1,Good Service,Medium,0,0
228,2023-01-04 00:00:00,4922.0,Bill Payment,8.0,1,Needs Improvement,High,0,0
79,2023-01-04 01:00:00,1954.0,Investment,8.0,7,Good Service,Medium,0,0
608,2023-01-04 02:00:00,3155.0,Investment,4.0,5,Good Service,Medium,0,0
349,2023-01-04 03:00:00,2768.0,Loan Payment,3.0,10,Needs Improvement,Medium,0,0
842,2023-01-04 04:00:00,3270.0,Loan Payment,5.0,10,Needs Improvement,Medium,0,0
981,2023-01-04 05:00:00,4117.0,Purchase,9.0,1,Unsatisfactory,High,0,0
894,2023-01-04 06:00:00,1905.0,Investment,7.0,8,Very Satisfied,Medium,0,0
246,2023-01-04 07:00:00,2510.0,Investment,9.0,4,Needs Improvement,Medium,0,0
272,2023-01-04 08:00:00,2839.0,Bill Payment,4.0,10,Unsatisfactory,Medium,0,0
403,2023-01-04 09:00:00,3883.0,Purchase,4.0,6,Very Satisfied,High,1,0
669,2023-01-04 10:00:00,57.0,Bill Payment,5.0,5,Very Satisfied,Low,1,0
116,2023-01-04 11:00:00,2374.0,Loan Payment,7.0,8,Unsatisfactory,Medium,1,0
435,2023-01-04 12:00:00,2266.0,Loan Payment,4.0,3,Very Satisfied,Medium,1,0
530,2023-01-04 13:00:00,4682.0,Bill Payment,10.0,10,Good Service,High,1,0
442,2023-01-04 14:00:00,763.0,Loan Payment,7.0,7,Unsatisfactory,Low,1,0
172,2023-01-04 15:00:00,2812.0,Bill Payment,10.0,2,Excellent,Medium,1,0
16,2023-01-04 16:00:00,4659.0,Investment,7.0,2,Excellent,High,1,0
961,2023-01-04 17:00:00,3662.0,Investment,4.0,7,Unsatisfactory,Medium,0,0
752,2023-01-04 18:00:00,412.0,Loan Payment,10.0,4,Needs Improvement,Low,0,0
898,2023-01-04 19:00:00,2096.0,Purchase,6.0,5,Very Satisfied,Medium,0,0
56,2023-01-04 20:00:00,2237.0,Investment,7.0,6,Good Service,Medium,0,0
591,2023-01-04 21:00:00,3420.0,Loan Payment,5.0,4,Good Service,Medium,0,0
103,2023-01-04 22:00:00,3000.0,Purchase,4.0,2,Needs Improvement,Medium,0,0
284,2023-01-04 23:00:00,4653.0,Loan Payment,1.0,1,Good Service,High,0,0
705,2023-01-05 00:00:00,1159.0,Bill Payment,8.0,4,Unsatisfactory,Low,0,0
517,2023-01-05 01:00:00,72.0,Loan Payment,1.0,3,Very Satisfied,Low,0,0
618,2023-01-05 02:00:00,4949.0,Bill Payment,7.0,4,Very Satisfied,High,0,0
278,2023-01-05 03:00:00,3163.0,Investment,7.0,3,Good Service,Medium,0,0
885,2023-01-05 04:00:00,1018.0,Investment,7.0,9,Needs Improvement,Low,0,0
612,2023-01-05 05:00:00,2041.0,Loan Payment,9.0,3,Excellent,Medium,0,0
750,2023-01-05 06:00:00,1332.0,Purchase,8.0,3,Excellent,Medium,0,0
269,2023-01-05 07:00:00,2091.0,Loan Payment,2.0,10,Good Service,Medium,0,0
833,2023-01-05 08:00:00,761.0,Loan Payment,2.0,8,Very Satisfied,Low,0,0
400,2023-01-05 09:00:00,4154.0,Investment,9.0,5,Good Service,High,1,0
503,2023-01-05 10:00:00,667.0,Investment,8.0,2,Good Service,Low,1,0
86,2023-01-05 11:00:00,1670.0,Loan Payment,2.0,8,Very Satisfied,Medium,1,0
320,2023-01-05 12:00:00,710.0,Investment,8.0,9,Excellent,Low,1,0
32,2023-01-05 13:00:00,1090.0,Bill Payment,3.0,7,Needs Improvement,Low,1,0
336,2023-01-05 14:00:00,2166.0,Loan Payment,5.0,6,Good Service,Medium,1,0
51,2023-01-05 15:00:00,1550.0,Investment,8.0,8,Needs Improvement,Medium,1,0
79,2023-01-05 16:00:00,3042.0,Loan Payment,8.0,7,Good Service,Medium,1,0
698,2023-01-05 17:00:00,1993.0,Investment,10.0,8,Good Service,Medium,0,0
174,2023-01-05 18:00:00,324.0,Bill Payment,6.0,2,Good Service,Low,0,0
948,2023-01-05 19:00:00,3091.0,Bill Payment,6.0,6,Unsatisfactory,Medium,0,0
618,2023-01-05 20:00:00,4743.0,Loan Payment,7.0,4,Very Satisfied,High,0,0
501,2023-01-05 21:00:00,2324.0,Bill Payment,1.0,1,Good Service,Medium,0,0
575,2023-01-05 22:00:00,2145.0,Bill Payment,5.0,1,Needs Improvement,Medium,0,0
76,2023-01-05 23:00:00,1659.0,Investment,3.0,9,Very Satisfied,Medium,0,0
316,2023-01-06 00:00:00,3229.0,Loan Payment,5.0,2,Very Satisfied,Medium,0,0
833,2023-01-06 01:00:00,3810.0,Investment,2.0,8,Very Satisfied,High,0,0
373,2023-01-06 02:00:00,2488.0,Investment,6.0,6,Needs Improvement,Medium,0,0
81,2023-01-06 03:00:00,4077.0,Purchase,3.0,8,Very Satisfied,High,0,0
873,2023-01-06 04:00:00,1785.0,Bill Payment,7.0,1,Unsatisfactory,Medium,0,0
640,2023-01-06 05:00:00,1976.0,Investment,5.0,9,Unsatisfactory,Medium,0,0
695,2023-01-06 06:00:00,1777.0,Investment,8.0,5,Needs Improvement,Medium,0,0
755,2023-01-06 07:00:00,3825.0,Investment,10.0,1,Needs Improvement,High,0,0
697,2023-01-06 08:00:00,251.0,Bill Payment,10.0,4,Very Satisfied,Low,0,0
732,2023-01-06 09:00:00,4807.0,Bill Payment,8.0,3,Excellent,High,1,0
71,2023-01-06 10:00:00,2959.0,Bill Payment,1.0,5,Excellent,Medium,1,0
969,2023-01-06 11:00:00,4846.0,Loan Payment,2.0,2,Unsatisfactory,High,1,0
854,2023-01-06 12:00:00,4886.0,Investment,5.0,8,Unsatisfactory,High,1,0
666,2023-01-06 13:00:00,2266.0,Bill Payment,2.0,4,Good Service,Medium,1,0
757,2023-01-06 14:00:00,4121.0,Investment,6.0,6,Unsatisfactory,High,1,0
652,2023-01-06 15:00:00,3378.0,Loan Payment,7.0,9,Good Service,Medium,1,0
71,2023-01-06 16:00:00,376.0,Purchase,1.0,5,Excellent,Low,1,0
46,2023-01-06 17:00:00,2837.0,Loan Payment,6.0,1,Good Service,Medium,0,0
47,2023-01-06 18:00:00,1262.0,Bill Payment,7.0,6,Unsatisfactory,Medium,0,0
591,2023-01-06 19:00:00,2497.0,Bill Payment,5.0,4,Good Service,Medium,0,0
422,2023-01-06 20:00:00,4795.0,Loan Payment,8.0,7,Excellent,High,0,0
149,2023-01-06 21:00:00,3613.0,Investment,5.0,5,Good Service,Medium,0,0
910,2023-01-06 22:00:00,3531.0,Bill Payment,5.0,6,Unsatisfactory,Medium,0,0
130,2023-01-06 23:00:00,4952.0,Bill Payment,1.0,7,Unsatisfactory,High,0,0
456,2023-01-07 00:00:00,4527.0,Loan Payment,4.0,5,Very Satisfied,High,0,1
639,2023-01-07 01:00:00,1653.0,Investment,10.0,4,Unsatisfactory,Medium,0,1
877,2023-01-07 02:00:00,1222.0,Loan Payment,4.0,1,Good Service,Low,0,1
631,2023-01-07 03:00:00,4713.0,Loan Payment,8.0,3,Excellent,High,0,1
966,2023-01-07 04:00:00,29.0,Investment,2.0,5,Needs Improvement,Low,0,1
997,2023-01-07 05:00:00,685.0,Investment,2.0,4,Good Service,Low,0,1
869,2023-01-07 06:00:00,4487.0,Purchase,2.0,10,Good Service,High,0,1
505,2023-01-07 07:00:00,618.0,Loan Payment,7.0,4,Good Service,Low,0,1
929,2023-01-07 08:00:00,71.0,Investment,6.0,7,Very Satisfied,Low,0,1
774,2023-01-07 09:00:00,1275.0,Bill Payment,7.0,10,Good Service,Medium,1,1
244,2023-01-07 10:00:00,2295.0,Purchase,2.0,4,Very Satisfied,Medium,1,1
474,2023-01-07 11:00:00,1164.0,Loan Payment,8.0,4,Good Service,Low,1,1
382,2023-01-07 12:00:00,1638.0,Investment,10.0,4,Unsatisfactory,Medium,1,1
103,2023-01-07 13:00:00,1636.0,Purchase,4.0,2,Needs Improvement,Medium,1,1
489,2023-01-07 14:00:00,3726.0,Purchase,9.0,6,Unsatisfactory,High,1,1
37,2023-01-07 15:00:00,1452.0,Bill Payment,4.0,2,Very Satisfied,Medium,1,1
654,2023-01-07 16:00:00,1663.0,Purchase,4.0,8,Unsatisfactory,Medium,1,1
549,2023-01-07 17:00:00,2512.0,Loan Payment,7.0,3,Needs Improvement,Medium,0,1
520,2023-01-07 18:00:00,3279.0,Investment,5.0,2,Very Satisfied,Medium,0,1
743,2023-01-07 19:00:00,291.0,Purchase,5.0,8,Unsatisfactory,Low,0,1
333,2023-01-07 20:00:00,4991.0,Purchase,3.0,9,Needs Improvement,High,0,1
397,2023-01-07 21:00:00,1034.0,Loan Payment,9.0,8,Excellent,Low,0,1
296,2023-01-07 22:00:00,4828.0,Bill Payment,2.0,4,Excellent,High,0,1
107,2023-01-07 23:00:00,3413.0,Bill Payment,10.0,6,Unsatisfactory,Medium,0,1
860,2023-01-08 00:00:00,1245.0,Investment,7.0,10,Very Satisfied,Low,0,1
954,2023-01-08 01:00:00,4192.0,Loan Payment,7.0,2,Very Satisfied,High,0,1
530,2023-01-08 02:00:00,4770.0,Bill Payment,10.0,10,Good Service,High,0,1
825,2023-01-08 03:00:00,4967.0,Investment,5.0,10,Needs Improvement,High,0,1
83,2023-01-08 04:00:00,795.0,Investment,6.0,2,Good Service,Low,0,1
934,2023-01-08 05:00:00,3327.0,Bill Payment,4.0,1,Unsatisfactory,Medium,0,1
288,2023-01-08 06:00:00,1677.0,Loan Payment,3.0,4,Unsatisfactory,Medium,0,1
982,2023-01-08 07:00:00,3018.0,Purchase,9.0,8,Unsatisfactory,Medium,0,1
706,2023-01-08 08:00:00,3204.0,Bill Payment,1.0,2,Good Service,Medium,0,1
461,2023-01-08 09:00:00,4799.0,Purchase,9.0,8,Excellent,High,1,1
215,2023-01-08 10:00:00,3785.0,Purchase,3.0,9,Very Satisfied,High,1,1
281,2023-01-08 11:00:00,2456.0,Loan Payment,8.0,7,Needs Improvement,Medium,1,1
732,2023-01-08 12:00:00,3800.0,Loan Payment,8.0,3,Excellent,High,1,1
954,2023-01-08 13:00:00,543.0,Investment,7.0,2,Very Satisfied,Low,1,1
459,2023-01-08 14:00:00,411.0,Loan Payment,4.0,4,Needs Improvement,Low,1,1
801,2023-01-08 15:00:00,3673.0,Investment,8.0,7,Unsatisfactory,Medium,1,1
344,2023-01-08 16:00:00,139.0,Bill Payment,3.0,2,Needs Improvement,Low,1,1
194,2023-01-08 17:00:00,2349.0,Purchase,3.0,7,Good Service,Medium,0,1
158,2023-01-08 18:00:00,4381.0,Loan Payment,5.0,4,Very Satisfied,High,0,1
465,2023-01-08 19:00:00,2969.0,Bill Payment,1.0,8,Good Service,Medium,0,1
104,2023-01-08 20:00:00,1868.0,Investment,8.0,5,Good Service,Medium,0,1
34,2023-01-08 21:00:00,2983.0,Loan Payment,3.0,7,Good Service,Medium,0,1
102,2023-01-08 22:00:00,4160.0,Purchase,5.0,4,Unsatisfactory,High,0,1
639,2023-01-08 23:00:00,3659.0,Bill Payment,10.0,4,Unsatisfactory,Medium,0,1
726,2023-01-09 00:00:00,2796.0,Loan Payment,3.0,7,Good Service,Medium,0,0
325,2023-01-09 01:00:00,3107.0,Loan Payment,10.0,8,Needs Improvement,Medium,0,0
944,2023-01-09 02:00:00,3522.0,Bill Payment,3.0,2,Unsatisfactory,Medium,0,0
808,2023-01-09 03:00:00,4870.0,Investment,8.0,4,Needs Improvement,High,0,0
691,2023-01-09 04:00:00,1230.0,Investment,1.0,9,Very Satisfied,Low,0,0
592,2023-01-09 05:00:00,651.0,Loan Payment,9.0,5,Unsatisfactory,Low,0,0
141,2023-01-09 06:00:00,3324.0,Investment,4.0,10,Needs Improvement,Medium,0,0
474,2023-01-09 07:00:00,733.0,Investment,8.0,4,Good Service,Low,0,0
31,2023-01-09 08:00:00,4907.0,Bill Payment,4.0,8,Needs Improvement,High,0,0
884,2023-01-09 09:00:00,747.0,Investment,10.0,3,Unsatisfactory,Low,1,0
935,2023-01-09 10:00:00,4863.0,Investment,1.0,9,Excellent,High,1,0
63,2023-01-09 11:00:00,1309.0,Bill Payment,8.0,3,Unsatisfactory,Medium,1,0
560,2023-01-09 12:00:00,3490.0,Loan Payment,4.0,8,Good Service,Medium,1,0
87,2023-01-09 13:00:00,349.0,Loan Payment,5.0,3,Unsatisfactory,Low,1,0
304,2023-01-09 14:00:00,162.0,Bill Payment,4.0,1,Good Service,Low,1,0
61,2023-01-09 15:00:00,1431.0,Purchase,5.0,3,Good Service,Medium,1,0
396,2023-01-09 16:00:00,3061.0,Bill Payment,10.0,2,Needs Improvement,Medium,1,0
334,2023-01-09 17:00:00,436.0,Purchase,4.0,7,Very Satisfied,Low,0,0
952,2023-01-09 18:00:00,3568.0,Investment,9.0,10,Very Satisfied,Medium,0,0
786,2023-01-09 19:00:00,1145.0,Loan Payment,5.0,10,Good Service,Low,0,0
411,2023-01-09 20:00:00,2460.0,Purchase,6.0,4,Needs Improvement,Medium,0,0
284,2023-01-09 21:00:00,3339.0,Purchase,1.0,1,Good Service,Medium,0,0
466,2023-01-09 22:00:00,959.0,Investment,9.0,10,Unsatisfactory,Low,0,0
80,2023-01-09 23:00:00,1383.0,Loan Payment,8.0,5,Unsatisfactory,Medium,0,0
692,2023-01-10 00:00:00,966.0,Investment,8.0,5,Unsatisfactory,Low,0,0
784,2023-01-10 01:00:00,1711.0,Loan Payment,6.0,10,Needs Improvement,Medium,0,0
77,2023-01-10 02:00:00,2951.0,Loan Payment,9.0,5,Good Service,Medium,0,0
954,2023-01-10 03:00:00,2492.0,Investment,7.0,2,Very Satisfied,Medium,0,0
733,2023-01-10 04:00:00,1313.0,Purchase,5.0,7,Good Service,Medium,0,0
905,2023-01-10 05:00:00,380.0,Bill Payment,3.0,5,Needs Improvement,Low,0,0
794,2023-01-10 06:00:00,2990.0,Loan Payment,4.0,6,Excellent,Medium,0,0
540,2023-01-10 07:00:00,2306.0,Loan Payment,2.0,8,Good Service,Medium,0,0
361,2023-01-10 08:00:00,4808.0,Bill Payment,4.0,2,Good Service,High,0,0
77,2023-01-10 09:00:00,2135.0,Bill Payment,9.0,5,Good Service,Medium,1,0
509,2023-01-10 10:00:00,2976.0,Investment,8.0,10,Good Service,Medium,1,0
164,2023-01-10 11:00:00,4155.0,Loan Payment,5.0,3,Excellent,High,1,0
9,2023-01-10 12:00:00,2752.0,Investment,10.0,9,Good Service,Medium,1,0
175,2023-01-10 13:00:00,4031.0,Bill Payment,7.0,7,Good Service,High,1,0
462,2023-01-10 14:00:00,2374.0,Investment,8.0,3,Good Service,Medium,1,0
307,2023-01-10 15:00:00,772.0,Loan Payment,10.0,1,Very Satisfied,Low,1,0
588,2023-01-10 16:00:00,4072.0,Purchase,2.0,7,Good Service,High,1,0
245,2023-01-10 17:00:00,1014.0,Purchase,5.0,9,Good Service,Low,0,0
122,2023-01-10 18:00:00,3765.0,Loan Payment,5.0,5,Good Service,High,0,0
185,2023-01-10 19:00:00,2856.0,Investment,7.0,5,Excellent,Medium,0,0
32,2023-01-10 20:00:00,359.0,Bill Payment,3.0,7,Needs Improvement,Low,0,0
998,2023-01-10 21:00:00,2974.0,Bill Payment,7.0,4,Very Satisfied,Medium,0,0
963,2023-01-10 22:00:00,696.0,Purchase,7.0,8,Excellent,Low,0,0
762,2023-01-10 23:00:00,4647.0,Investment,4.0,4,Very Satisfied,High,0,0
569,2023-01-11 00:00:00,3136.0,Bill Payment,1.0,6,Unsatisfactory,Medium,0,0
310,2023-01-11 01:00:00,4466.0,Bill Payment,2.0,6,Unsatisfactory,High,0,0
372,2023-01-11 02:00:00,2765.0,Loan Payment,4.0,9,Needs Improvement,Medium,0,0
656,2023-01-11 03:00:00,3534.0,Investment,9.0,9,Needs Improvement,Medium,0,0
830,2023-01-11 04:00:00,3634.0,Investment,8.0,4,Needs Improvement,Medium,0,0
596,2023-01-11 05:00:00,2742.0,Bill Payment,2.0,2,Good Service,Medium,0,0
992,2023-01-11 06:00:00,1703.0,Investment,7.0,2,Needs Improvement,Medium,0,0
56,2023-01-11 07:00:00,2902.0,Investment,7.0,6,Good Service,Medium,0,0
791,2023-01-11 08:00:00,3821.0,Investment,4.0,6,Needs Improvement,High,0,0
273,2023-01-11 09:00:00,4190.0,Loan Payment,10.0,7,Needs Improvement,High,1,0
464,2023-01-11 10:00:00,694.0,Bill Payment,5.0,8,Needs Improvement,Low,1,0
678,2023-01-11 11:00:00,4350.0,Purchase,3.0,9,Needs Improvement,High,1,0
456,2023-01-11 12:00:00,2929.0,Investment,4.0,5,Very Satisfied,Medium,1,0
979,2023-01-11 13:00:00,2460.0,Bill Payment,7.0,6,Very Satisfied,Medium,1,0
670,2023-01-11 14:00:00,3293.0,Purchase,5.0,8,Very Satisfied,Medium,1,0
249,2023-01-11 15:00:00,4701.0,Loan Payment,10.0,7,Needs Improvement,High,1,0
698,2023-01-11 16:00:00,4036.0,Bill Payment,10.0,8,Good Service,High,1,0
994,2023-01-11 17:00:00,1166.0,Loan Payment,5.0,2,Needs Improvement,Low,0,0
78,2023-01-11 18:00:00,3071.0,Bill Payment,6.0,4,Excellent,Medium,0,0
534,2023-01-11 19:00:00,4455.0,Loan Payment,5.0,10,Good Service,High,0,0
108,2023-01-11 20:00:00,2339.0,Bill Payment,2.0,3,Unsatisfactory,Medium,0,0
273,2023-01-11 21:00:00,1302.0,Loan Payment,10.0,7,Needs Improvement,Medium,0,0
764,2023-01-11 22:00:00,1894.0,Purchase,8.0,6,Good Service,Medium,0,0
15,2023-01-11 23:00:00,1570.0,Bill Payment,1.0,10,Needs Improvement,Medium,0,0
370,2023-01-12 00:00:00,993.0,Purchase,10.0,1,Very Satisfied,Low,0,0
304,2023-01-12 01:00:00,2077.0,Investment,4.0,1,Good Service,Medium,0,0
672,2023-01-12 02:00:00,1873.0,Purchase,8.0,5,Good Service,Medium,0,0
205,2023-01-12 03:00:00,1989.0,Bill Payment,1.0,9,Unsatisfactory,Medium,0,0
981,2023-01-12 04:00:00,1746.0,Purchase,9.0,1,Unsatisfactory,Medium,0,0
113,2023-01-12 05:00:00,2462.0,Bill Payment,8.0,8,Good Service,Medium,0,0
680,2023-01-12 06:00:00,1928.0,Loan Payment,4.0,5,Good Service,Medium,0,0
865,2023-01-12 07:00:00,710.0,Investment,2.0,7,Needs Improvement,Low,0,0
253,2023-01-12 08:00:00,2460.0,Purchase,8.0,3,Needs Improvement,Medium,0,0
441,2023-01-12 09:00:00,2083.0,Investment,5.0,3,Good Service,Medium,1,0
186,2023-01-12 10:00:00,4671.0,Purchase,7.0,3,Needs Improvement,High,1,0
859,2023-01-12 11:00:00,3763.0,Bill Payment,9.0,4,Excellent,High,1,0
227,2023-01-12 12:00:00,404.0,Purchase,6.0,7,Very Satisfied,Low,1,0
528,2023-01-12 13:00:00,1966.0,Investment,2.0,2,Excellent,Medium,1,0
668,2023-01-12 14:00:00,3058.0,Purchase,9.0,3,Good Service,Medium,1,0
354,2023-01-12 15:00:00,3462.0,Investment,9.0,8,Unsatisfactory,Medium,1,0
623,2023-01-12 16:00:00,532.0,Investment,8.0,6,Unsatisfactory,Low,1,0
1,2023-01-12 17:00:00,1572.0,Bill Payment,10.0,9,Very Satisfied,Medium,0,0
553,2023-01-12 18:00:00,2919.0,Loan Payment,6.0,9,Very Satisfied,Medium,0,0
560,2023-01-12 19:00:00,2859.0,Loan Payment,4.0,8,Good Service,Medium,0,0
927,2023-01-12 20:00:00,559.0,Purchase,2.0,6,Excellent,Low,0,0
420,2023-01-12 21:00:00,2460.0,Investment,5.0,8,Good Service,Medium,0,0
620,2023-01-12 22:00:00,842.0,Bill Payment,10.0,8,Good Service,Low,0,0
161,2023-01-12 23:00:00,4492.0,Loan Payment,5.0,2,Good Service,High,0,0
161,2023-01-13 00:00:00,2460.0,Bill Payment,5.0,2,Good Service,Medium,0,0
871,2023-01-13 01:00:00,295.0,Bill Payment,5.0,4,Good Service,Low,0,0
128,2023-01-13 02:00:00,2755.0,Investment,5.0,2,Needs Improvement,Medium,0,0
722,2023-01-13 03:00:00,3775.0,Purchase,5.0,4,Good Service,High,0,0
151,2023-01-13 04:00:00,4474.0,Investment,8.0,10,Excellent,High,0,0
444,2023-01-13 05:00:00,1455.0,Loan Payment,10.0,4,Unsatisfactory,Medium,0,0
767,2023-01-13 06:00:00,1476.0,Loan Payment,6.0,8,Needs Improvement,Medium,0,0
471,2023-01-13 07:00:00,1786.0,Bill Payment,6.0,8,Needs Improvement,Medium,0,0
463,2023-01-13 08:00:00,3665.0,Investment,5.0,7,Unsatisfactory,Medium,0,0
730,2023-01-13 09:00:00,924.0,Investment,3.0,1,Very Satisfied,Low,1,0
30,2023-01-13 10:00:00,297.0,Bill Payment,3.0,7,Unsatisfactory,Low,1,0
473,2023-01-13 11:00:00,4200.0,Purchase,10.0,5,Unsatisfactory,High,1,0
557,2023-01-13 12:00:00,2098.0,Bill Payment,2.0,7,Very Satisfied,Medium,1,0
