Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type,Satisfaction_Score,Feedback_Comments,Likelihood_to_Recommend
134,666,2023-01-06 13:00:00,2266.0,Bill Payment,2.0,Good Service,4
135,757,2023-01-06 14:00:00,4121.0,Investment,6.0,Unsatisfactory,6
136,652,2023-01-06 15:00:00,3378.0,Loan Payment,7.0,Good Service,9
137,71,2023-01-06 16:00:00,376.0,Purchase,1.0,Excellent,5
138,46,2023-01-06 17:00:00,2837.0,Loan Payment,6.0,Good Service,1
139,47,2023-01-06 18:00:00,1262.0,Bill Payment,7.0,Unsatisfactory,6
140,591,2023-01-06 19:00:00,2497.0,Bill Payment,5.0,Good Service,4
141,422,2023-01-06 20:00:00,4795.0,Loan Payment,8.0,Excellent,7
142,149,2023-01-06 21:00:00,3613.0,Investment,5.0,Good Service,5
143,910,2023-01-06 22:00:00,3531.0,Bill Payment,5.0,Unsatisfactory,6
144,130,2023-01-06 23:00:00,4952.0,Bill Payment,1.0,Unsatisfactory,7
145,456,2023-01-07 00:00:00,4527.0,Loan Payment,4.0,Very Satisfied,5
146,639,2023-01-07 01:00:00,1653.0,Investment,10.0,Unsatisfactory,4
147,877,2023-01-07 02:00:00,1222.0,Loan Payment,4.0,Good Service,1
148,631,2023-01-07 03:00:00,4713.0,Loan Payment,8.0,Excellent,3
149,966,2023-01-07 04:00:00,29.0,Investment,2.0,Needs Improvement,5
150,997,2023-01-07 05:00:00,685.0,Investment,2.0,Good Service,4
151,869,2023-01-07 06:00:00,4487.0,Purchase,2.0,Good Service,10
152,505,2023-01-07 07:00:00,618.0,Loan Payment,7.0,Good Service,4
153,929,2023-01-07 08:00:00,71.0,Investment,6.0,Very Satisfied,7
154,774,2023-01-07 09:00:00,1275.0,Bill Payment,7.0,Good Service,10
155,244,2023-01-07 10:00:00,2295.0,Purchase,2.0,Very Satisfied,4
156,474,2023-01-07 11:00:00,1164.0,Loan Payment,8.0,Good Service,4
157,382,2023-01-07 12:00:00,1638.0,Investment,10.0,Unsatisfactory,4
158,103,2023-01-07 13:00:00,1636.0,Purchase,4.0,Needs Improvement,2
159,489,2023-01-07 14:00:00,3726.0,Purchase,9.0,Unsatisfactory,6
160,37,2023-01-07 15:00:00,1452.0,Bill Payment,4.0,Very Satisfied,2
161,654,2023-01-07 16:00:00,1663.0,Purchase,4.0,Unsatisfactory,8
162,549,2023-01-07 17:00:00,2512.0,Loan Payment,7.0,Needs Improvement,3
163,520,2023-01-07 18:00:00,3279.0,Investment,5.0,Very Satisfied,2
164,743,2023-01-07 19:00:00,291.0,Purchase,5.0,Unsatisfactory,8
165,333,2023-01-07 20:00:00,4991.0,Purchase,3.0,Needs Improvement,9
166,397,2023-01-07 21:00:00,1034.0,Loan Payment,9.0,Excellent,8
167,296,2023-01-07 22:00:00,4828.0,Bill Payment,2.0,Excellent,4
168,107,2023-01-07 23:00:00,3413.0,Bill Payment,10.0,Unsatisfactory,6
169,860,2023-01-08 00:00:00,1245.0,Investment,7.0,Very Satisfied,10
170,954,2023-01-08 01:00:00,4192.0,Loan Payment,7.0,Very Satisfied,2
171,530,2023-01-08 02:00:00,4770.0,Bill Payment,10.0,Good Service,10
172,825,2023-01-08 03:00:00,4967.0,Investment,5.0,Needs Improvement,10
173,83,2023-01-08 04:00:00,795.0,Investment,6.0,Good Service,2
174,934,2023-01-08 05:00:00,3327.0,Bill Payment,4.0,Unsatisfactory,1
175,288,2023-01-08 06:00:00,1677.0,Loan Payment,3.0,Unsatisfactory,4
176,982,2023-01-08 07:00:00,3018.0,Purchase,9.0,Unsatisfactory,8
177,706,2023-01-08 08:00:00,3204.0,Bill Payment,1.0,Good Service,2
178,461,2023-01-08 09:00:00,4799.0,Purchase,9.0,Excellent,8
179,215,2023-01-08 10:00:00,3785.0,Purchase,3.0,Very Satisfied,9
180,281,2023-01-08 11:00:00,2456.0,Loan Payment,8.0,Needs Improvement,7
181,732,2023-01-08 12:00:00,3800.0,Loan Payment,8.0,Excellent,3
182,954,2023-01-08 13:00:00,543.0,Investment,7.0,Very Satisfied,2
183,459,2023-01-08 14:00:00,411.0,Loan Payment,4.0,Needs Improvement,4
184,801,2023-01-08 15:00:00,3673.0,Investment,8.0,Unsatisfactory,7
185,344,2023-01-08 16:00:00,139.0,Bill Payment,3.0,Needs Improvement,2
186,194,2023-01-08 17:00:00,2349.0,Purchase,3.0,Good Service,7
187,158,2023-01-08 18:00:00,4381.0,Loan Payment,5.0,Very Satisfied,4
188,465,2023-01-08 19:00:00,2969.0,Bill Payment,1.0,Good Service,8
189,104,2023-01-08 20:00:00,1868.0,Investment,8.0,Good Service,5
190,34,2023-01-08 21:00:00,2983.0,Loan Payment,3.0,Good Service,7
191,102,2023-01-08 22:00:00,4160.0,Purchase,5.0,Unsatisfactory,4
192,639,2023-01-08 23:00:00,3659.0,Bill Payment,10.0,Unsatisfactory,4
193,726,2023-01-09 00:00:00,2796.0,Loan Payment,3.0,Good Service,7
194,325,2023-01-09 01:00:00,3107.0,Loan Payment,10.0,Needs Improvement,8
195,944,2023-01-09 02:00:00,3522.0,Bill Payment,3.0,Unsatisfactory,2
196,808,2023-01-09 03:00:00,4870.0,Investment,8.0,Needs Improvement,4
197,691,2023-01-09 04:00:00,1230.0,Investment,1.0,Very Satisfied,9
198,592,2023-01-09 05:00:00,651.0,Loan Payment,9.0,Unsatisfactory,5
199,141,2023-01-09 06:00:00,3324.0,Investment,4.0,Needs Improvement,10
200,474,2023-01-09 07:00:00,733.0,Investment,8.0,Good Service,4
201,31,2023-01-09 08:00:00,4907.0,Bill Payment,4.0,Needs Improvement,8
202,884,2023-01-09 09:00:00,747.0,Investment,10.0,Unsatisfactory,3
203,935,2023-01-09 10:00:00,4863.0,Investment,1.0,Excellent,9
204,63,2023-01-09 11:00:00,1309.0,Bill Payment,8.0,Unsatisfactory,3
205,560,2023-01-09 12:00:00,3490.0,Loan Payment,4.0,Good Service,8
206,87,2023-01-09 13:00:00,349.0,Loan Payment,5.0,Unsatisfactory,3
207,304,2023-01-09 14:00:00,162.0,Bill Payment,4.0,Good Service,1
208,61,2023-01-09 15:00:00,1431.0,Purchase,5.0,Good Service,3
209,396,2023-01-09 16:00:00,3061.0,Bill Payment,10.0,Needs Improvement,2
210,334,2023-01-09 17:00:00,436.0,Purchase,4.0,Very Satisfied,7
211,952,2023-01-09 18:00:00,3568.0,Investment,9.0,Very Satisfied,10
212,786,2023-01-09 19:00:00,1145.0,Loan Payment,5.0,Good Service,10
213,411,2023-01-09 20:00:00,2460.0,Purchase,6.0,Needs Improvement,4
214,284,2023-01-09 21:00:00,3339.0,Purchase,1.0,Good Service,1
215,466,2023-01-09 22:00:00,959.0,Investment,9.0,Unsatisfactory,10
216,80,2023-01-09 23:00:00,1383.0,Loan Payment,8.0,Unsatisfactory,5
217,692,2023-01-10 00:00:00,966.0,Investment,8.0,Unsatisfactory,5
218,784,2023-01-10 01:00:00,1711.0,Loan Payment,6.0,Needs Improvement,10
219,77,2023-01-10 02:00:00,2951.0,Loan Payment,9.0,Good Service,5
220,954,2023-01-10 03:00:00,2492.0,Investment,7.0,Very Satisfied,2
221,733,2023-01-10 04:00:00,1313.0,Purchase,5.0,Good Service,7
222,905,2023-01-10 05:00:00,380.0,Bill Payment,3.0,Needs Improvement,5
223,794,2023-01-10 06:00:00,2990.0,Loan Payment,4.0,Excellent,6
224,540,2023-01-10 07:00:00,2306.0,Loan Payment,2.0,Good Service,8
225,361,2023-01-10 08:00:00,4808.0,Bill Payment,4.0,Good Service,2
226,77,2023-01-10 09:00:00,2135.0,Bill Payment,9.0,Good Service,5
227,509,2023-01-10 10:00:00,2976.0,Investment,8.0,Good Service,10
228,164,2023-01-10 11:00:00,4155.0,Loan Payment,5.0,Excellent,3
229,9,2023-01-10 12:00:00,2752.0,Investment,10.0,Good Service,9
230,175,2023-01-10 13:00:00,4031.0,Bill Payment,7.0,Good Service,7
231,462,2023-01-10 14:00:00,2374.0,Investment,8.0,Good Service,3
232,307,2023-01-10 15:00:00,772.0,Loan Payment,10.0,Very Satisfied,1
233,588,2023-01-10 16:00:00,4072.0,Purchase,2.0,Good Service,7
234,245,2023-01-10 17:00:00,1014.0,Purchase,5.0,Good Service,9
235,122,2023-01-10 18:00:00,3765.0,Loan Payment,5.0,Good Service,5
236,185,2023-01-10 19:00:00,2856.0,Investment,7.0,Excellent,5
237,32,2023-01-10 20:00:00,359.0,Bill Payment,3.0,Needs Improvement,7
238,998,2023-01-10 21:00:00,2974.0,Bill Payment,7.0,Very Satisfied,4
239,963,2023-01-10 22:00:00,696.0,Purchase,7.0,Excellent,8
240,762,2023-01-10 23:00:00,4647.0,Investment,4.0,Very Satisfied,4
241,569,2023-01-11 00:00:00,3136.0,Bill Payment,1.0,Unsatisfactory,6
242,310,2023-01-11 01:00:00,4466.0,Bill Payment,2.0,Unsatisfactory,6
243,372,2023-01-11 02:00:00,2765.0,Loan Payment,4.0,Needs Improvement,9
244,656,2023-01-11 03:00:00,3534.0,Investment,9.0,Needs Improvement,9
245,830,2023-01-11 04:00:00,3634.0,Investment,8.0,Needs Improvement,4
246,596,2023-01-11 05:00:00,2742.0,Bill Payment,2.0,Good Service,2
247,992,2023-01-11 06:00:00,1703.0,Investment,7.0,Needs Improvement,2
248,56,2023-01-11 07:00:00,2902.0,Investment,7.0,Good Service,6
249,791,2023-01-11 08:00:00,3821.0,Investment,4.0,Needs Improvement,6
250,273,2023-01-11 09:00:00,4190.0,Loan Payment,10.0,Needs Improvement,7
251,464,2023-01-11 10:00:00,694.0,Bill Payment,5.0,Needs Improvement,8
252,678,2023-01-11 11:00:00,4350.0,Purchase,3.0,Needs Improvement,9
253,456,2023-01-11 12:00:00,2929.0,Investment,4.0,Very Satisfied,5
254,979,2023-01-11 13:00:00,2460.0,Bill Payment,7.0,Very Satisfied,6
255,670,2023-01-11 14:00:00,3293.0,Purchase,5.0,Very Satisfied,8
256,249,2023-01-11 15:00:00,4701.0,Loan Payment,10.0,Needs Improvement,7
257,698,2023-01-11 16:00:00,4036.0,Bill Payment,10.0,Good Service,8
258,994,2023-01-11 17:00:00,1166.0,Loan Payment,5.0,Needs Improvement,2
259,78,2023-01-11 18:00:00,3071.0,Bill Payment,6.0,Excellent,4
260,534,2023-01-11 19:00:00,4455.0,Loan Payment,5.0,Good Service,10
261,108,2023-01-11 20:00:00,2339.0,Bill Payment,2.0,Unsatisfactory,3
262,273,2023-01-11 21:00:00,1302.0,Loan Payment,10.0,Needs Improvement,7
263,764,2023-01-11 22:00:00,1894.0,Purchase,8.0,Good Service,6
264,15,2023-01-11 23:00:00,1570.0,Bill Payment,1.0,Needs Improvement,10
265,370,2023-01-12 00:00:00,993.0,Purchase,10.0,Very Satisfied,1
266,304,2023-01-12 01:00:00,2077.0,Investment,4.0,Good Service,1
267,672,2023-01-12 02:00:00,1873.0,Purchase,8.0,Good Service,5
268,205,2023-01-12 03:00:00,1989.0,Bill Payment,1.0,Unsatisfactory,9
269,981,2023-01-12 04:00:00,1746.0,Purchase,9.0,Unsatisfactory,1
270,113,2023-01-12 05:00:00,2462.0,Bill Payment,8.0,Good Service,8
271,680,2023-01-12 06:00:00,1928.0,Loan Payment,4.0,Good Service,5
272,865,2023-01-12 07:00:00,710.0,Investment,2.0,Needs Improvement,7
273,253,2023-01-12 08:00:00,2460.0,Purchase,8.0,Needs Improvement,3
274,441,2023-01-12 09:00:00,2083.0,Investment,5.0,Good Service,3
275,186,2023-01-12 10:00:00,4671.0,Purchase,7.0,Needs Improvement,3
276,859,2023-01-12 11:00:00,3763.0,Bill Payment,9.0,Excellent,4
277,227,2023-01-12 12:00:00,404.0,Purchase,6.0,Very Satisfied,7
278,528,2023-01-12 13:00:00,1966.0,Investment,2.0,Excellent,2
279,668,2023-01-12 14:00:00,3058.0,Purchase,9.0,Good Service,3
280,354,2023-01-12 15:00:00,3462.0,Investment,9.0,Unsatisfactory,8
281,623,2023-01-12 16:00:00,532.0,Investment,8.0,Unsatisfactory,6
282,1,2023-01-12 17:00:00,1572.0,Bill Payment,10.0,Very Satisfied,9
283,553,2023-01-12 18:00:00,2919.0,Loan Payment,6.0,Very Satisfied,9
284,560,2023-01-12 19:00:00,2859.0,Loan Payment,4.0,Good Service,8
285,927,2023-01-12 20:00:00,559.0,Purchase,2.0,Excellent,6
286,420,2023-01-12 21:00:00,2460.0,Investment,5.0,Good Service,8
287,620,2023-01-12 22:00:00,842.0,Bill Payment,10.0,Good Service,8
288,161,2023-01-12 23:00:00,4492.0,Loan Payment,5.0,Good Service,2
289,161,2023-01-13 00:00:00,2460.0,Bill Payment,5.0,Good Service,2
290,871,2023-01-13 01:00:00,295.0,Bill Payment,5.0,Good Service,4
291,128,2023-01-13 02:00:00,2755.0,Investment,5.0,Needs Improvement,2
292,722,2023-01-13 03:00:00,3775.0,Purchase,5.0,Good Service,4
293,151,2023-01-13 04:00:00,4474.0,Investment,8.0,Excellent,10
294,444,2023-01-13 05:00:00,1455.0,Loan Payment,10.0,Unsatisfactory,4
295,767,2023-01-13 06:00:00,1476.0,Loan Payment,6.0,Needs Improvement,8
296,471,2023-01-13 07:00:00,1786.0,Bill Payment,6.0,Needs Improvement,8
297,463,2023-01-13 08:00:00,3665.0,Investment,5.0,Unsatisfactory,7
298,730,2023-01-13 09:00:00,924.0,Investment,3.0,Very Satisfied,1
299,30,2023-01-13 10:00:00,297.0,Bill Payment,3.0,Unsatisfactory,7
300,473,2023-01-13 11:00:00,4200.0,Purchase,10.0,Unsatisfactory,5
301,557,2023-01-13 12:00:00,2098.0,Bill Payment,2.0,Very Satisfied,7
302,80,2023-01-13 13:00:00,4436.0,Bill Payment,8.0,Unsatisfactory,5
303,39,2023-01-13 14:00:00,1814.0,Loan Payment,1.0,Good Service,7
304,240,2023-01-13 15:00:00,1188.0,Investment,3.0,Needs Improvement,6
305,557,2023-01-13 16:00:00,2561.0,Loan Payment,2.0,Very Satisfied,7
306,590,2023-01-13 17:00:00,4380.0,Bill Payment,6.0,Excellent,10
307,337,2023-01-13 18:00:00,1598.0,Investment,4.0,Good Service,2
308,908,2023-01-13 19:00:00,1966.0,Bill Payment,4.0,Very Satisfied,1
309,861,2023-01-13 20:00:00,1785.0,Bill Payment,6.0,Needs Improvement,4
310,800,2023-01-13 21:00:00,4872.0,Purchase,8.0,Very Satisfied,10
311,952,2023-01-13 22:00:00,997.0,Loan Payment,9.0,Very Satisfied,10
312,280,2023-01-13 23:00:00,1213.0,Loan Payment,2.0,Unsatisfactory,3
313,116,2023-01-14 00:00:00,2460.0,Bill Payment,7.0,Unsatisfactory,8
314,269,2023-01-14 01:00:00,1129.0,Purchase,2.0,Good Service,10
315,916,2023-01-14 02:00:00,206.0,Bill Payment,6.0,Needs Improvement,3
316,335,2023-01-14 03:00:00,3985.0,Bill Payment,7.0,Excellent,8
317,312,2023-01-14 04:00:00,535.0,Bill Payment,5.0,Needs Improvement,3
318,53,2023-01-14 05:00:00,4737.0,Purchase,6.0,Needs Improvement,1
319,68,2023-01-14 06:00:00,1420.0,Investment,4.0,Excellent,1
320,694,2023-01-14 07:00:00,4513.0,Purchase,2.0,Very Satisfied,8
321,34,2023-01-14 08:00:00,1302.0,Bill Payment,3.0,Good Service,7
322,796,2023-01-14 09:00:00,1204.0,Investment,10.0,Good Service,4
323,818,2023-01-14 10:00:00,1958.0,Bill Payment,9.0,Good Service,1
324,386,2023-01-14 11:00:00,3665.0,Purchase,4.0,Unsatisfactory,10
325,249,2023-01-14 12:00:00,4796.0,Purchase,10.0,Needs Improvement,7
326,111,2023-01-14 13:00:00,2227.0,Investment,6.0,Good Service,5
327,94,2023-01-14 14:00:00,4264.0,Purchase,1.0,Good Service,8
328,410,2023-01-14 15:00:00,3590.0,Bill Payment,1.0,Needs Improvement,8
329,179,2023-01-14 16:00:00,1027.0,Investment,4.0,Very Satisfied,5
330,47,2023-01-14 17:00:00,3163.0,Loan Payment,7.0,Unsatisfactory,6
331,794,2023-01-14 18:00:00,3600.0,Bill Payment,4.0,Excellent,6
332,852,2023-01-14 19:00:00,4217.0,Loan Payment,3.0,Excellent,5
333,874,2023-01-14 20:00:00,4079.0,Investment,7.0,Good Service,1
334,604,2023-01-14 21:00:00,57.0,Investment,1.0,Unsatisfactory,6
335,376,2023-01-14 22:00:00,3673.0,Bill Payment,7.0,Very Satisfied,9
336,724,2023-01-14 23:00:00,4481.0,Purchase,4.0,Needs Improvement,1
337,587,2023-01-15 00:00:00,837.0,Bill Payment,4.0,Needs Improvement,2
338,890,2023-01-15 01:00:00,4732.0,Purchase,3.0,Unsatisfactory,5
339,202,2023-01-15 02:00:00,2099.0,Purchase,2.0,Good Service,3
340,445,2023-01-15 03:00:00,2066.0,Bill Payment,9.0,Very Satisfied,10
341,919,2023-01-15 04:00:00,828.0,Investment,2.0,Good Service,10
