Customer_ID,Satisfaction_Score,Feedback_Comments,Likelihood_to_Recommend
260,3,Good service,1
261,5,Good service,9
262,10,Excellent,8
263,9,Very satisfied,6
264,6,Unsatisfactory,10
265,2,Needs improvement,6
266,1,Needs improvement,6
267,1,Good service,4
268,7,Excellent,5
269,2,Good service,10
270,7,Needs improvement,3
271,1,Excellent,3
272,4,Unsatisfactory,10
273,10,Needs improvement,7
274,4,Excellent,5
275,5,Unsatisfactory,8
276,10,Good service,5
277,1,Good service,4
278,7,Good service,3
279,2,Good service,2
280,2,Unsatisfactory,3
281,8,Needs improvement,7
282,9,Very satisfied,8
283,6,Unsatisfactory,5
284,1,Good service,1
285,1,Excellent,3
286,7,Excellent,4
287,8,Excellent,10
288,3,Unsatisfactory,4
289,9,Good service,1
290,4,Needs improvement,10
291,4,Good service,9
292,3,Good service,10
293,8,Needs improvement,4
294,9,Very satisfied,2
295,1,Excellent,9
296,2,Excellent,4
297,1,Good service,4
298,4,Needs improvement,6
299,10,Good service,8
300,7,Unsatisfactory,5
301,7,Needs improvement,8
302,6,Good service,1
303,5,Good service,4
304,4,Good service,1
305,8,Excellent,3
306,7,Very satisfied,7
307,10,Very satisfied,1
308,1,Unsatisfactory,5
309,6,Unsatisfactory,1
310,2,Unsatisfactory,6
311,4,Needs improvement,9
312,5,Needs improvement,3
313,8,Needs improvement,6
314,6,Very satisfied,4
315,2,Needs improvement,6
316,5,Very satisfied,2
317,5,Good service,4
318,6,Excellent,7
319,1,Good service,6
320,8,Excellent,9
321,3,Good service,7
322,5,Good service,1
323,7,Needs improvement,6
324,3,Unsatisfactory,3
325,10,Needs improvement,8
326,6,Unsatisfactory,1
327,5,Very satisfied,10
328,7,Excellent,2
329,10,Very satisfied,3
330,3,Unsatisfactory,3
331,2,Good service,7
332,4,Unsatisfactory,8
333,3,Needs improvement,9
334,4,Very satisfied,7
335,7,Excellent,8
336,5,Good service,6
337,4,Good service,2
338,6,Unsatisfactory,1
339,7,Very satisfied,3
340,5,Good service,9
341,7,Needs improvement,7
342,3,Unsatisfactory,2
343,7,Very satisfied,1
344,3,Needs improvement,2
345,6,Unsatisfactory,3
346,8,Unsatisfactory,6
347,6,Excellent,9
348,,Unsatisfactory,8
349,3,Needs improvement,10
350,5,Good service,9
351,9,Very satisfied,8
352,8,Unsatisfactory,7
353,6,Excellent,6
354,9,Unsatisfactory,8
355,2,Very satisfied,6
356,9,Good service,2
357,10,Needs improvement,9
358,10,Needs improvement,9
359,6,Unsatisfactory,3
360,9,Needs improvement,9
361,4,Good service,2
362,5,Excellent,3
363,2,Needs improvement,6
364,3,Good service,4
365,1,Good service,8
366,4,Excellent,1
367,2,Unsatisfactory,6
368,2,Good service,2
369,1,Very satisfied,6
370,10,Very satisfied,1
371,2,Good service,2
372,4,Needs improvement,9
373,6,Needs improvement,6
374,7,Needs improvement,8
375,7,Unsatisfactory,7
376,7,Very satisfied,9
377,4,Very satisfied,9
378,5,Good service,4
379,3,Very satisfied,7
380,1,Very satisfied,5
381,,Needs improvement,7
382,10,Unsatisfactory,4
383,7,Unsatisfactory,10
384,9,Unsatisfactory,1
385,10,Needs improvement,4
386,4,Unsatisfactory,10
387,5,Good service,3
388,5,Excellent,9
389,7,Very satisfied,5
390,9,Good service,4
391,8,Good service,8
392,7,Excellent,5
393,1,Excellent,3
394,10,Unsatisfactory,2
395,6,Needs improvement,8
396,10,Needs improvement,2
397,9,Excellent,8
398,7,Needs improvement,5
399,1,Excellent,8
400,9,Good service,5
401,3,Good service,1
402,9,Unsatisfactory,2
403,4,Very satisfied,6
404,9,Excellent,3
405,8,Needs improvement,8
406,7,Excellent,5
407,4,Good service,3
408,9,Unsatisfactory,10
409,4,Good service,7
410,1,Needs improvement,8
411,6,Needs improvement,4
412,4,Excellent,9
413,10,Needs improvement,6
414,3,Good service,1
415,5,Excellent,5
416,3,Good service,5
417,9,Good service,7
418,6,Very satisfied,7
419,3,Unsatisfactory,6
420,5,Good service,8
421,8,Good service,2
422,8,Excellent,7
423,6,Unsatisfactory,10
424,5,Very satisfied,7
425,5,Unsatisfactory,4
426,1,Excellent,10
427,2,Very satisfied,2
428,4,Unsatisfactory,4
429,6,Needs improvement,4
430,7,Needs improvement,6
431,1,Good service,7
432,8,Needs improvement,3
433,1,Very satisfied,10
434,9,Unsatisfactory,1
435,4,Very satisfied,3
436,7,Good service,9
437,6,Very satisfied,1
438,9,Unsatisfactory,8
439,2,Good service,2
440,7,Good service,6
441,5,Good service,3
442,7,Unsatisfactory,7
443,1,Good service,2
444,10,Unsatisfactory,4
445,9,Very satisfied,10
446,1,Very satisfied,9
447,5,Needs improvement,6
448,8,Excellent,4
449,1,Very satisfied,2
450,7,Very satisfied,10
451,2,Very satisfied,9
452,7,Needs improvement,4
453,7,Good service,9
454,9,Unsatisfactory,2
455,6,Very satisfied,7
456,4,Very satisfied,5
457,7,Good service,8
458,7,Needs improvement,8
459,4,Needs improvement,4
460,2,Very satisfied,4
461,9,Excellent,8
462,8,Good service,3
463,5,Unsatisfactory,7
464,5,Needs improvement,8
465,1,Good service,8
466,9,Unsatisfactory,10
467,10,Unsatisfactory,4
468,8,Good service,9
469,,Needs improvement,10
470,10,Good service,4
471,6,Needs improvement,8
472,10,Good service,6
473,10,Unsatisfactory,5
474,8,Good service,4
475,6,Very satisfied,5
476,10,Good service,1
477,4,Very satisfied,7
478,3,Needs improvement,8
479,7,Good service,9
480,2,Unsatisfactory,3
481,7,Good service,9
482,1,Unsatisfactory,10
483,10,Needs improvement,5
484,5,Excellent,10
485,9,Excellent,6
486,1,Unsatisfactory,1
487,8,Unsatisfactory,9
488,9,Good service,9
489,9,Unsatisfactory,6
490,8,Excellent,8
491,4,Very satisfied,4
492,7,Needs improvement,5
493,1,Good service,5
494,7,Needs improvement,7
495,6,Good service,7
496,5,Needs improvement,7
497,1,Needs improvement,5
498,8,Excellent,4
499,10,Needs improvement,8
500,1,Unsatisfactory,1
501,1,Good service,1
502,3,Good service,6
503,8,Good service,2
504,8,Good service,3
505,7,Good service,4
506,5,Needs improvement,2
507,8,Needs improvement,10
508,2,Needs improvement,7
509,8,Good service,10
510,2,Good service,1
511,10,Needs improvement,3
512,5,Very satisfied,2
513,4,Good service,9
514,1,Very satisfied,8
515,5,Very satisfied,3
516,7,Good service,5
517,1,Very satisfied,3
518,2,Good service,6
519,9,Needs improvement,5
520,5,Very satisfied,2
521,7,Good service,10
522,2,Excellent,8
523,7,Unsatisfactory,6
524,7,Good service,3
525,7,Excellent,1
526,5,Good service,5
527,9,Very satisfied,2
528,2,Excellent,2
529,4,Unsatisfactory,9
530,52,Good service,10
531,8,Needs improvement,7
532,1,Needs improvement,6
533,9,Very satisfied,1
534,5,Good service,10
535,3,Good service,2
536,4,Excellent,7
537,1,Very satisfied,3
538,,Unsatisfactory,2
539,8,Very satisfied,6
540,2,Good service,8
541,2,Needs improvement,8
542,9,Needs improvement,2
543,5,Very satisfied,6
544,5,Good service,5
545,1,Needs improvement,7
546,6,Very satisfied,4
547,8,Very satisfied,2
548,6,Needs improvement,10
549,7,Needs improvement,3
550,4,Very satisfied,9
551,2,Needs improvement,10
552,1,Excellent,8
553,6,Very satisfied,9
554,9,Needs improvement,5
555,10,Very satisfied,5
556,5,Very satisfied,7
557,2,Very satisfied,7
558,1,Good service,1
559,,Unsatisfactory,5
560,4,Good service,8
561,7,Needs improvement,7
562,9,Good service,2
563,8,Good service,8
564,9,Needs improvement,2
565,7,Unsatisfactory,10
566,10,Unsatisfactory,1
567,8,Unsatisfactory,3
568,8,Good service,3
569,1,Unsatisfactory,6
570,9,Good service,3
571,2,Unsatisfactory,7
572,7,Excellent,8
573,10,Very satisfied,3
574,60,Good service,9
575,5,Needs improvement,1
576,4,Unsatisfactory,3
577,1,Very satisfied,3
578,1,Excellent,7
579,3,Needs improvement,5
580,1,Very satisfied,4
581,8,Very satisfied,2
582,3,Unsatisfactory,7
583,10,Very satisfied,3
584,2,Very satisfied,7
585,6,Needs improvement,10
586,4,Needs improvement,7
587,4,Needs improvement,2
588,2,Good service,7
589,2,Unsatisfactory,6
590,6,Excellent,10
591,5,Good service,4
592,9,Unsatisfactory,5
593,4,Excellent,8
594,5,Needs improvement,5
595,1,Needs improvement,3
596,2,Good service,2
597,3,Needs improvement,6
598,5,Needs improvement,6
599,5,Unsatisfactory,7
600,4,Excellent,8
601,10,Very satisfied,4
602,3,Very satisfied,8
603,9,Very satisfied,1
604,1,Unsatisfactory,6
605,6,Very satisfied,6
606,7,Needs improvement,3
607,10,Good service,9
608,4,Good service,5
609,10,Good service,1
610,3,Unsatisfactory,7
611,8,Needs improvement,10
612,9,Excellent,3
613,1,Needs improvement,10
614,10,Very satisfied,10
615,9,Very satisfied,4
616,7,Excellent,6
617,1,Unsatisfactory,8
618,7,Very satisfied,4
619,5,Unsatisfactory,9
620,10,Good service,8
621,7,Good service,10
622,9,Very satisfied,10
623,8,Unsatisfactory,6
624,6,Very satisfied,7
625,2,Good service,8
626,8,Good service,2
627,4,Very satisfied,5
628,8,Needs improvement,7
629,7,Very satisfied,8
630,4,Good service,5
631,8,Excellent,3
632,2,Good service,6
633,9,Good service,5
634,6,Good service,8
635,7,Needs improvement,9
636,10,Unsatisfactory,9
637,1,Very satisfied,6
638,3,Unsatisfactory,4
639,10,Unsatisfactory,4
640,5,Unsatisfactory,9
641,7,Very satisfied,4
642,1,Very satisfied,8
643,9,Needs improvement,9
644,5,Unsatisfactory,5
645,3,Needs improvement,6
646,7,Good service,3
647,10,Very satisfied,5
648,8,Needs improvement,5
649,10,Unsatisfactory,2
650,10,Very satisfied,10
651,3,Very satisfied,6
652,7,Good service,9
653,7,Needs improvement,7
654,4,Unsatisfactory,8
655,10,Unsatisfactory,2
656,9,Needs improvement,9
657,1,Very satisfied,3
658,1,Needs improvement,10
659,5,Excellent,5
660,,Excellent,7
661,10,Unsatisfactory,4
662,9,Good service,7
663,5,Unsatisfactory,8
664,7,Unsatisfactory,10
665,1,Needs improvement,10
666,2,Good service,4
667,4,Excellent,5
668,9,Good service,3
669,5,Very satisfied,5
670,5,Very satisfied,8
671,9,Needs improvement,3
672,8,Good service,5
673,2,Very satisfied,10
674,7,Unsatisfactory,1
675,1,Unsatisfactory,2
676,10,Unsatisfactory,3
677,9,Good service,1
678,3,Needs improvement,9
679,2,Very satisfied,9
680,4,Good service,5
681,4,Good service,4
682,3,Unsatisfactory,5
683,2,Good service,4
684,5,Very satisfied,5
685,4,Good service,7
686,5,Good service,8
687,8,Excellent,2
688,2,Excellent,4
689,9,Very satisfied,8
690,10,Very satisfied,7
691,1,Very satisfied,9
692,8,Unsatisfactory,5
693,5,Very satisfied,6
694,2,Very satisfied,8
695,8,Needs improvement,5
696,5,Good service,9
697,10,Very satisfied,4
698,10,Good service,8
699,,Good service,3
700,7,Needs improvement,5
701,4,Excellent,8
702,10,Very satisfied,10
703,6,Good service,7
704,10,Excellent,1
705,8,Unsatisfactory,4
706,1,Good service,2
707,2,Needs improvement,2
708,8,Very satisfied,7
709,7,Unsatisfactory,3
710,10,Excellent,3
711,9,Needs improvement,6
712,2,Good service,6
713,8,Very satisfied,1
714,6,Needs improvement,1
715,1,Needs improvement,6
716,4,Needs improvement,7
717,2,Very satisfied,9
718,7,Needs improvement,4
719,9,Needs improvement,10
720,6,Good service,6
721,4,Good service,3
722,5,Good service,4
723,1,Unsatisfactory,9
724,4,Needs improvement,1
725,10,Unsatisfactory,5
726,3,Good service,7
727,9,Excellent,3
728,6,Unsatisfactory,2
729,4,Good service,2
730,3,Very satisfied,1
731,4,Good service,5
732,8,Excellent,3
733,5,Good service,7
734,1,Good service,1
735,5,Very satisfied,9
736,8,Unsatisfactory,2
737,4,Good service,8
738,2,Good service,10
739,3,Good service,4
740,9,Good service,6
741,7,Good service,9
742,3,Needs improvement,7
743,5,Unsatisfactory,8
744,3,Unsatisfactory,7
745,10,Unsatisfactory,2
746,4,Very satisfied,9
747,8,Unsatisfactory,1
748,3,Very satisfied,2
749,3,Very satisfied,3
750,8,Excellent,3
751,10,Unsatisfactory,10
752,10,Needs improvement,4
753,7,Unsatisfactory,5
754,7,Excellent,6
755,10,Needs improvement,1
756,2,Needs improvement,8
757,,Unsatisfactory,6
758,10,Good service,10
759,10,Very satisfied,9
760,3,Unsatisfactory,5
761,7,Good service,7
762,4,Very satisfied,4
763,8,Good service,6
764,8,Good service,6
765,6,Excellent,4
766,3,Needs improvement,6
767,6,Needs improvement,8
768,6,Excellent,5
769,3,Excellent,2
770,4,Needs improvement,9
771,2,Excellent,4
772,1,Good service,4
773,2,Good service,7
774,7,Good service,10
775,10,Needs improvement,10
776,5,Needs improvement,6
777,9,Needs improvement,4
778,3,Needs improvement,6
779,2,Very satisfied,3
780,4,Very satisfied,7
781,2,Needs improvement,6
782,7,Very satisfied,3
783,10,Needs improvement,1
784,6,Needs improvement,10
785,8,Needs improvement,5
786,5,Good service,10
787,2,Needs improvement,2
788,4,Unsatisfactory,7
789,1,Excellent,7
790,2,Unsatisfactory,4
791,4,Needs improvement,6
792,6,Very satisfied,1
793,4,Needs improvement,2
794,4,Excellent,6
795,10,Good service,2
796,10,Good service,4
797,2,Very satisfied,4
798,9,Unsatisfactory,10
799,10,Good service,9
800,8,Very satisfied,10
801,8,Unsatisfactory,7
802,5,Needs improvement,7
803,3,Good service,1
804,6,Good service,5
805,9,Good service,3
806,8,Good service,3
807,7,Good service,6
808,8,Needs improvement,4
809,4,Unsatisfactory,8
810,6,Needs improvement,4
811,,Good service,8
812,2,Needs improvement,4
813,8,Unsatisfactory,3
814,3,Very satisfied,5
815,5,Very satisfied,5
816,8,Needs improvement,10
817,9,Needs improvement,10
818,9,Good service,1
819,5,Unsatisfactory,8
820,2,Needs improvement,8
821,7,Excellent,8
822,7,Very satisfied,10
823,8,Unsatisfactory,4
824,8,Very satisfied,9
825,5,Needs improvement,10
826,,Needs improvement,3
827,4,Good service,7
828,4,Unsatisfactory,6
829,3,Very satisfied,9
830,8,Needs improvement,4
831,3,Good service,4
832,5,Unsatisfactory,6
833,2,Very satisfied,8
834,6,Unsatisfactory,3
835,6,Unsatisfactory,8
836,,Unsatisfactory,8
837,,Very satisfied,7
838,1,Needs improvement,7
839,5,Very satisfied,5
840,2,Unsatisfactory,2
841,10,Unsatisfactory,2
842,5,Needs improvement,10
843,10,Unsatisfactory,8
844,9,Very satisfied,6
845,4,Needs improvement,8
846,8,Good service,3
847,1,Excellent,1
848,8,Unsatisfactory,6
849,6,Unsatisfactory,2
850,8,Excellent,9
851,6,Good service,5
852,3,Excellent,5
853,8,Good service,10
854,5,Unsatisfactory,8
855,,Unsatisfactory,6
856,5,Very satisfied,3
857,7,Good service,9
858,56,Very satisfied,10
859,9,Excellent,4
860,7,Very satisfied,10
861,,Needs improvement,4
862,5,Unsatisfactory,2
863,9,Good service,3
864,10,Good service,4
865,2,Needs improvement,7
866,,Very satisfied,3
867,8,Unsatisfactory,8
868,8,Good service,8
869,2,Good service,10
870,8,Needs improvement,2
871,5,Good service,4
872,2,Excellent,8
873,7,Unsatisfactory,1
874,7,Good service,1
875,3,Good service,4
876,1,Good service,2
877,4,Good service,1
878,2,Needs improvement,8
879,4,Unsatisfactory,2
880,8,Good service,4
881,2,Very satisfied,3
882,1,Good service,2
883,3,Very satisfied,8
884,10,Unsatisfactory,3
885,7,Needs improvement,9
886,6,Good service,10
887,6,Good service,5
888,7,Excellent,9
889,8,Very satisfied,3
890,3,Unsatisfactory,5
891,3,Good service,10
892,10,Unsatisfactory,6
893,8,Unsatisfactory,9
894,7,Very satisfied,8
895,10,Unsatisfactory,2
896,5,Needs improvement,2
897,4,Very satisfied,5
898,6,Very satisfied,5
899,9,Needs improvement,5
900,6,Needs improvement,4
901,8,Unsatisfactory,8
902,1,Unsatisfactory,5
903,6,Needs improvement,1
904,2,Unsatisfactory,10
905,3,Needs improvement,5
906,,Good service,1
907,2,Excellent,4
908,4,Very satisfied,1
909,6,Good service,6
910,5,Unsatisfactory,6
911,6,Good service,1
912,6,Very satisfied,8
913,8,Very satisfied,4
914,9,Needs improvement,2
915,5,Excellent,1
916,6,Needs improvement,3
917,6,Needs improvement,7
918,6,Good service,10
919,2,Good service,10
920,4,Very satisfied,8
921,1,Good service,5
922,1,Good service,7
923,1,Very satisfied,2
924,7,Very satisfied,4
925,1,Unsatisfactory,6
926,,Unsatisfactory,5
927,2,Excellent,6
928,6,Needs improvement,2
929,6,Very satisfied,7
930,3,Unsatisfactory,8
931,8,Very satisfied,9
932,4,Needs improvement,6
933,7,Unsatisfactory,7
934,4,Unsatisfactory,1
935,1,Excellent,9
936,6,Unsatisfactory,6
937,5,Needs improvement,4
938,9,Good service,10
939,9,Excellent,9
940,8,Very satisfied,1
941,7,Excellent,2
942,2,Good service,3
943,8,Very satisfied,1
944,3,Unsatisfactory,2
945,6,Very satisfied,2
946,10,Unsatisfactory,7
947,7,Good service,10
948,6,Unsatisfactory,6
949,5,Needs improvement,9
950,4,Needs improvement,5
951,2,Good service,9
952,9,Very satisfied,10
953,7,Unsatisfactory,9
954,7,Very satisfied,2
955,4,Good service,9
956,5,Needs improvement,3
957,6,Good service,3
958,2,Very satisfied,9
959,4,Very satisfied,7
960,4,Very satisfied,8
961,4,Unsatisfactory,7
962,7,Very satisfied,9
963,7,Excellent,8
964,,Very satisfied,4
965,7,Very satisfied,2
966,2,Needs improvement,5
967,5,Very satisfied,2
968,10,Needs improvement,4
969,2,Unsatisfactory,2
970,5,Very satisfied,5
971,6,Unsatisfactory,6
972,3,Good service,1
973,6,Very satisfied,8
974,5,Very satisfied,2
975,4,Excellent,5
976,10,Very satisfied,8
977,9,Unsatisfactory,5
978,8,Needs improvement,3
979,7,Very satisfied,6
980,1,Good service,1
981,9,Unsatisfactory,1
982,9,Unsatisfactory,8
983,6,Good service,7
984,7,Unsatisfactory,10
985,3,Very satisfied,10
986,5,Excellent,3
987,7,Unsatisfactory,8
988,1,Unsatisfactory,8
989,1,Unsatisfactory,1
990,5,Needs improvement,10
991,9,Needs improvement,7
992,7,Needs improvement,2
993,1,Good service,2
994,5,Needs improvement,2
995,8,Good service,5
996,8,Good service,7
997,2,Good service,4
998,7,Very satisfied,4
999,10,Good service,9
1000,5,Unsatisfactory,10
623,4,Good service,3
753,1,Good service,8
736,9,Needs improvement,3
298,4,Good service,6
52,5,Good service,4
733,,Unsatisfactory,7
304,4,Needs improvement,8
288,9,Good service,10
664,7,Needs improvement,6
899,8,Unsatisfactory,10
118,3,Needs improvement,4
923,3,Good service,8
969,7,Very satisfied,7
424,8,Unsatisfactory,10
791,5,Unsatisfactory,8
647,1,Needs improvement,10
209,3,Very satisfied,7
127,5,Needs improvement,3
293,3,Unsatisfactory,3
519,1,Good service,9
222,7,Very satisfied,7
77,1,Needs improvement,1
338,10,Unsatisfactory,3
863,6,Very satisfied,1
790,6,Needs improvement,6
846,7,Needs improvement,2
850,1,Needs improvement,7
739,3,Needs improvement,8
913,9,Needs improvement,6
275,2,Very satisfied,5
863,5,Good service,10
807,3,Needs improvement,4
117,5,Very satisfied,9
292,7,Needs improvement,8
271,1,Needs improvement,5
447,3,Good service,1
157,6,Needs improvement,8
572,,Needs improvement,8
184,10,Good service,7
424,3,Good service,7
656,4,Excellent,8
673,6,Good service,1
601,5,Needs improvement,3
16,9,Very satisfied,4
926,,Very satisfied,6
761,5,Very satisfied,10
98,1,Unsatisfactory,10
962,8,Good service,9
616,7,Good service,4
300,5,Unsatisfactory,6
747,6,Very satisfied,9
422,4,Good service,9
307,9,Good service,6
956,3,Good service,5
274,2,Needs improvement,3
261,7,Good service,5
239,2,Good service,3
936,6,Unsatisfactory,5
774,8,Unsatisfactory,10
332,3,Unsatisfactory,10
115,3,Unsatisfactory,1
268,3,Needs improvement,6
12,1,Needs improvement,7
73,9,Needs improvement,2
874,5,Unsatisfactory,3
406,9,Needs improvement,10
817,5,Very satisfied,9
178,7,Unsatisfactory,8
976,1,Unsatisfactory,4
772,9,Unsatisfactory,8
946,1,Very satisfied,8
259,4,Good service,6
400,7,Good service,1
270,9,Needs improvement,2
832,1,Very satisfied,4
632,6,Good service,4
681,10,Very satisfied,2
486,5,Good service,9
580,3,Unsatisfactory,2
59,10,Unsatisfactory,6
642,2,Very satisfied,5
887,1,Needs improvement,4
266,2,Very satisfied,6
75,4,Very satisfied,4
999,6,Unsatisfactory,9
90,5,Unsatisfactory,10
505,4,Unsatisfactory,7
357,8,Good service,3
154,7,Unsatisfactory,10
900,4,Very satisfied,4
218,60,Good service,1
486,5,Very satisfied,6
540,10,Unsatisfactory,2
130,5,Good service,4
66,3,Very satisfied,5
144,9,Needs improvement,8
380,5,Very satisfied,3
313,10,Very satisfied,6
407,2,Very satisfied,1
407,4,Very satisfied,9
973,4,Needs improvement,1
277,5,Needs improvement,2
615,8,Good service,1
409,5,Good service,8
314,1,Unsatisfactory,4
549,2,Needs improvement,2
249,3,Needs improvement,7
945,3,Good service,8
461,10,Good service,9
399,6,Excellent,5
668,,Needs improvement,3
451,10,Very satisfied,1
471,1,Good service,8
644,6,Good service,6
559,9,Good service,5
434,4,Excellent,7
956,10,Unsatisfactory,5
446,3,Very satisfied,4
707,6,Good service,5
103,6,Unsatisfactory,7
328,2,Good service,6
683,5,Needs improvement,10
601,1,Needs improvement,10
246,9,Needs improvement,9
58,9,Unsatisfactory,10
105,3,Unsatisfactory,2
