Customer_ID,Total_Spending,Avg_Transaction_Amount,Max_Transaction,Min_Transaction,Std_Transaction_Amount,Transaction_Count,Avg_Satisfaction_Score,Std_Satisfaction,Min_Satisfaction,Max_Satisfaction,Avg_Likelihood_to_Recommend,Min_Likelihood,Max_Likelihood,Count_Bill Payment,Count_Investment,Count_Loan Payment,Count_Purchase,Pct_Bill Payment,Pct_Investment,Pct_Loan Payment,Pct_Purchase,Pct_Business_Hours,Pct_Weekend_Transactions,Avg_Hour_of_Day,Std_Hour_of_Day,Tenure_Days,Days_Since_Last_Transaction,High_Risk_Transaction_Count,Engagement_Breadth,Avg_Feedback_Sentiment,Std_Feedback_Sentiment
18,8074.0,2018.5,3439.0,689.0,1198.86,4,7.0,0.0,7.0,7.0,9.0,9,9,1,0,1,2,25.0,0.0,3.45,6.16,0.25,0.5,14.0,6.16,123,58,0,3,1.0,0.0
19,6929.0,2309.67,3384.0,1229.0,1077.51,3,3.0,0.0,3.0,3.0,5.0,5,5,2,1,0,0,66.67,1.44,0.0,0.0,0.33,0.0,10.67,7.77,140,1,1,2,2.0,0.0
20,4408.0,4408.0,4408.0,4408.0,0.0,1,9.0,0.0,9.0,9.0,10.0,10,10,0,0,1,0,0.0,0.0,100.0,0.0,0.0,0.0,4.0,0.0,0,185,0,1,3.0,0.0
21,14190.0,2365.0,4359.0,470.0,1476.13,6,5.0,0.0,5.0,5.0,2.0,2,2,0,3,2,1,0.0,50.0,3.57,1.68,0.0,0.0,11.33,8.48,171,18,3,3,1.0,0.0
22,7440.0,2480.0,4869.0,1220.0,2069.97,3,7.0,0.0,7.0,7.0,7.0,7,7,0,0,3,0,0.0,0.0,100.0,0.0,0.67,0.33,11.67,3.21,173,17,0,1,1.0,0.0
23,19469.0,1946.9,4570.0,122.0,1317.24,10,8.0,0.0,8.0,8.0,6.0,6,6,1,3,3,3,10.0,15.0,8.57,6.89,0.3,0.2,12.6,6.64,136,46,3,4,3.0,0.0
24,16534.0,4133.5,4690.0,3304.0,588.37,4,2.0,0.0,2.0,2.0,7.0,7,7,3,1,0,0,75.0,1.27,0.0,0.0,0.5,0.0,7.5,3.11,119,65,1,2,3.0,0.0
25,12719.0,3179.75,4310.0,2292.0,847.04,4,1.0,0.0,1.0,1.0,8.0,8,8,2,0,0,2,50.0,0.0,0.0,3.7,0.5,0.5,13.25,5.06,157,20,0,2,3.0,0.0
26,9026.0,2256.5,3955.0,952.0,1424.85,4,7.0,0.0,7.0,7.0,10.0,10,10,1,0,1,2,25.0,0.0,3.45,6.16,0.25,0.0,10.5,6.45,103,65,0,3,3.0,0.0
27,19989.0,3331.5,7315.0,1244.0,2309.16,6,6.0,0.0,6.0,6.0,5.0,5,5,3,1,0,2,50.0,1.79,0.0,3.46,0.5,0.5,9.83,6.85,183,25,1,3,1.0,0.0
28,20987.0,2998.14,4631.0,654.0,1716.55,7,6.0,0.0,6.0,6.0,2.0,2,2,0,2,3,2,0.0,28.57,8.43,4.55,0.14,0.43,10.57,8.83,42,138,2,3,3.0,0.0
29,4253.0,1417.67,3439.0,38.0,1788.99,3,2.0,0.0,2.0,2.0,7.0,7,7,0,1,0,2,0.0,33.33,0.0,5.51,0.0,0.33,2.0,1.73,179,12,1,2,3.0,0.0
30,22781.0,2531.22,4873.0,297.0,1694.42,9,3.0,0.0,3.0,3.0,7.0,7,7,6,1,1,1,66.67,1.32,1.3,1.28,0.44,0.0,13.89,6.99,168,28,1,4,1.0,0.0
31,14962.0,2493.67,4907.0,1171.0,1442.06,6,4.0,0.0,4.0,4.0,8.0,8,8,2,2,2,0,33.33,5.09,4.5,0.0,0.33,0.17,12.83,7.83,133,67,2,3,2.0,0.0
32,28958.0,3217.56,4944.0,359.0,1853.65,9,3.0,0.0,3.0,3.0,7.0,7,7,3,2,3,1,33.33,4.72,6.38,1.87,0.33,0.11,15.67,6.91,165,39,2,4,2.0,0.0
33,5771.0,1923.67,2944.0,1190.0,911.46,3,2.0,0.0,2.0,2.0,10.0,10,10,0,3,0,0,0.0,100.0,0.0,0.0,0.0,0.33,19.0,1.0,134,31,3,1,1.0,0.0
34,16045.0,2674.17,4925.0,22.0,1742.77,6,3.0,0.0,3.0,3.0,7.0,7,7,2,1,1,2,33.33,2.54,2.39,4.52,0.0,0.67,11.83,8.08,135,66,1,4,3.0,0.0
35,8533.0,2844.33,3469.0,1767.0,936.95,3,6.0,0.0,6.0,6.0,9.0,9,9,1,1,1,0,33.33,2.75,2.56,0.0,0.0,0.33,14.67,9.71,160,33,1,3,2.0,0.0
36,24595.0,2732.78,4907.0,61.0,1887.51,9,9.0,0.0,9.0,9.0,8.0,8,8,1,4,2,2,11.11,19.89,5.0,4.44,0.11,0.33,14.0,8.08,155,20,4,4,4.0,0.0
37,11775.0,1962.5,2695.0,537.0,820.7,6,4.0,0.0,4.0,4.0,2.0,2,2,3,1,1,1,50.0,1.79,1.73,1.68,0.33,0.33,12.33,7.09,138,64,1,4,4.0,0.0
38,26319.0,2924.33,4457.0,715.0,1422.13,9,6.0,0.0,6.0,6.0,2.0,2,2,5,0,2,2,55.56,0.0,3.1,2.96,0.22,0.11,12.44,8.43,179,10,0,3,3.0,0.0
39,26202.0,2620.2,4547.0,342.0,1409.63,10,1.0,0.0,1.0,1.0,7.0,7,7,2,2,5,1,20.0,6.67,13.64,1.99,0.3,0.2,8.3,6.38,178,18,2,4,3.0,0.0
40,6511.0,1627.75,2273.0,363.0,868.32,4,6.0,0.0,6.0,6.0,10.0,10,10,0,2,0,2,0.0,50.0,0.0,3.7,0.5,0.25,12.0,8.83,136,21,2,2,5.0,0.0
41,16246.0,4061.5,4964.0,2217.0,1275.08,4,3.0,0.0,3.0,3.0,10.0,10,10,1,0,0,3,25.0,0.0,0.0,10.34,0.25,0.5,14.25,8.58,178,2,0,2,5.0,0.0
42,9132.0,2283.0,3324.0,1076.0,1178.57,4,9.0,0.0,9.0,9.0,3.0,3,3,1,0,0,3,25.0,0.0,0.0,10.34,0.25,0.25,12.0,8.87,158,33,0,2,1.0,0.0
43,5050.0,1010.0,2304.0,75.0,832.3,5,4.0,0.0,4.0,4.0,1.0,1,1,1,1,1,2,20.0,4.0,3.45,6.16,0.2,0.4,13.0,9.27,69,89,1,4,3.0,0.0
44,9153.0,2288.25,4826.0,262.0,1916.76,4,7.0,0.0,7.0,7.0,9.0,9,9,3,0,0,1,75.0,0.0,0.0,1.27,0.25,0.0,10.75,7.59,80,78,0,2,5.0,0.0
45,11109.0,2777.25,4911.0,628.0,2219.87,4,4.0,0.0,4.0,4.0,3.0,3,3,0,2,1,1,0.0,50.0,1.85,1.79,0.25,0.25,8.75,4.92,149,20,2,3,2.0,0.0
46,8310.0,1187.14,2837.0,644.0,772.73,7,6.0,0.0,6.0,6.0,1.0,1,1,0,2,2,3,0.0,28.57,5.62,7.28,0.29,0.43,15.57,5.77,162,41,2,3,3.0,0.0
47,19663.0,2457.88,3163.0,1262.0,671.53,8,7.0,0.0,7.0,7.0,6.0,6,6,1,3,2,2,12.5,14.63,5.69,4.9,0.12,0.38,13.62,7.67,188,15,3,4,1.0,0.0
48,11357.0,2839.25,4364.0,891.0,1450.98,4,2.0,0.0,2.0,2.0,4.0,4,4,0,1,1,2,0.0,25.0,3.45,6.16,0.0,0.5,6.0,8.68,118,26,1,3,4.0,0.0
49,6676.0,2225.33,4049.0,757.0,1674.52,3,10.0,0.0,10.0,10.0,1.0,1,1,1,1,0,1,33.33,2.75,0.0,2.56,0.0,0.33,21.67,2.31,152,13,1,3,4.0,0.0
50,7730.0,1288.33,3501.0,235.0,1237.57,6,6.0,0.0,6.0,6.0,4.0,4,4,2,2,2,0,33.33,5.09,4.5,0.0,0.17,0.33,11.67,6.71,160,48,2,3,1.0,0.0
51,13557.0,2259.5,4654.0,565.0,1529.25,6,8.0,0.0,8.0,8.0,8.0,8,8,1,1,2,2,16.67,4.41,7.39,5.8,0.33,0.5,15.33,6.31,199,5,1,4,2.0,0.0
52,23619.0,2952.38,4928.0,143.0,1644.08,8,6.0,0.0,6.0,6.0,7.0,7,7,4,0,3,1,50.0,0.0,5.17,1.58,0.12,0.38,7.5,5.4,178,0,0,3,3.0,0.0
53,16540.0,3308.0,4741.0,696.0,1692.88,5,6.0,0.0,6.0,6.0,1.0,1,1,0,1,2,2,0.0,20.0,8.0,6.06,0.2,0.6,6.6,5.32,112,83,1,3,2.0,0.0
55,19847.0,3307.83,4915.0,1365.0,1234.8,6,1.0,0.0,1.0,1.0,9.0,9,9,1,1,1,3,16.67,4.41,3.69,9.75,0.5,0.17,10.0,6.07,97,65,1,4,2.0,0.0
56,11486.0,2297.2,3614.0,273.0,1247.72,5,7.0,0.0,7.0,7.0,6.0,6,6,1,2,0,2,20.0,8.0,0.0,6.06,0.2,0.2,11.8,6.69,188,17,2,3,3.0,0.0
57,2570.0,1285.0,1347.0,1223.0,87.68,2,8.0,0.0,8.0,8.0,2.0,2,2,1,0,1,0,50.0,0.0,1.92,0.0,0.5,0.0,7.5,3.54,99,107,0,2,4.0,0.0
58,6288.0,1572.0,2411.0,42.0,1083.99,4,10.0,0.0,10.0,10.0,3.0,3,3,2,1,1,0,50.0,1.85,1.79,0.0,0.25,0.25,12.0,8.49,79,41,1,3,3.0,0.0
59,28720.0,3590.0,7315.0,1260.0,1969.71,8,2.0,0.0,2.0,2.0,7.0,7,7,2,1,4,1,25.0,3.03,11.1,2.12,0.12,0.25,11.62,7.54,180,13,1,4,5.0,0.0
60,2784.0,1392.0,1938.0,846.0,772.16,2,10.0,0.0,10.0,10.0,3.0,3,3,0,0,1,1,0.0,0.0,50.0,1.92,0.0,0.0,13.0,9.9,51,99,0,2,3.0,0.0
61,1848.0,924.0,1431.0,417.0,717.01,2,5.0,0.0,5.0,5.0,3.0,3,3,1,0,0,1,50.0,0.0,0.0,1.92,0.5,0.0,11.0,5.66,186,14,0,2,3.0,0.0
62,7112.0,1422.4,3374.0,380.0,1413.97,5,8.0,0.0,8.0,8.0,5.0,5,5,2,1,0,2,40.0,2.22,0.0,4.24,0.2,0.2,12.6,7.27,138,35,1,3,3.0,0.0
63,8502.0,2125.5,4365.0,368.0,1720.73,4,8.0,0.0,8.0,8.0,3.0,3,3,3,0,0,1,75.0,0.0,0.0,1.27,0.25,0.25,6.5,3.32,146,61,0,2,1.0,0.0
64,4518.0,4518.0,4518.0,4518.0,0.0,1,5.0,0.0,5.0,5.0,3.0,3,3,1,0,0,0,100.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0,127,0,1,2.0,0.0
65,7665.0,1916.25,3218.0,1059.0,994.05,4,8.0,0.0,8.0,8.0,5.0,5,5,1,1,0,2,25.0,3.45,0.0,6.16,0.75,0.0,10.0,4.55,168,7,1,3,2.0,0.0
66,17008.0,2429.71,4379.0,655.0,1428.12,7,6.0,0.0,6.0,6.0,5.0,5,5,0,2,2,3,0.0,28.57,5.62,7.28,0.29,0.43,6.86,5.27,169,25,2,3,3.0,0.0
67,17507.0,2917.83,3747.0,393.0,1259.27,6,5.0,0.0,5.0,5.0,9.0,9,9,2,1,1,2,33.33,2.54,2.39,4.52,0.0,0.33,9.83,8.66,81,9,1,4,4.0,0.0
68,15692.0,2241.71,4705.0,405.0,1417.76,7,4.0,0.0,4.0,4.0,1.0,1,1,2,2,1,2,28.57,5.62,2.43,4.59,0.14,0.14,11.29,6.37,194,1,2,4,5.0,0.0
69,11484.0,1914.0,4334.0,299.0,1688.93,6,5.0,0.0,5.0,5.0,1.0,1,1,1,1,2,2,16.67,4.41,7.39,5.8,0.0,0.33,9.5,8.02,135,16,1,4,5.0,0.0
70,6152.0,2050.67,3137.0,965.0,1086.0,3,4.0,0.0,4.0,4.0,9.0,9,9,1,2,0,0,33.33,5.51,0.0,0.0,0.0,0.33,4.67,3.51,86,39,2,2,5.0,0.0
71,12508.0,1786.86,3639.0,123.0,1400.82,7,1.0,0.0,1.0,1.0,5.0,5,5,2,0,4,1,28.57,0.0,11.25,2.14,0.43,0.29,8.43,7.32,201,5,0,3,5.0,0.0
72,23293.0,3882.17,4848.0,2844.0,822.3,6,3.0,0.0,3.0,3.0,4.0,4,4,1,3,1,1,16.67,13.23,2.79,2.58,0.17,0.17,9.83,7.25,157,29,3,4,1.0,0.0
73,12600.0,2100.0,3869.0,182.0,1661.03,6,8.0,0.0,8.0,8.0,2.0,2,2,1,2,2,1,16.67,8.82,6.35,2.64,0.67,0.17,13.67,4.03,143,10,2,4,2.0,0.0
74,7363.0,1051.86,2495.0,211.0,782.47,7,7.0,0.0,7.0,7.0,9.0,9,9,1,2,1,3,14.29,9.39,3.26,8.84,0.43,0.29,18.0,4.28,181,2,2,4,1.0,0.0
75,9301.0,3100.33,3865.0,2056.0,936.37,3,7.0,0.0,7.0,7.0,6.0,6,6,0,0,1,2,0.0,0.0,33.33,5.51,0.33,0.0,8.67,5.51,158,35,0,2,2.0,0.0
76,5693.0,2846.5,4034.0,1659.0,1679.38,2,3.0,0.0,3.0,3.0,9.0,9,9,0,1,0,1,0.0,50.0,0.0,1.92,0.5,0.0,19.0,5.66,105,99,1,2,4.0,0.0
77,15111.0,2158.71,3309.0,80.0,1034.82,7,9.0,0.0,9.0,9.0,5.0,5,5,2,1,3,1,28.57,2.81,7.82,2.16,0.29,0.29,13.86,8.32,127,72,1,4,3.0,0.0
78,25838.0,2870.89,4818.0,584.0,1476.56,9,6.0,0.0,6.0,6.0,4.0,4,4,4,1,4,0,44.44,1.87,7.23,0.0,0.22,0.33,10.89,8.96,122,76,1,3,5.0,0.0
79,30179.0,3017.9,4770.0,1189.0,1193.74,10,8.0,0.0,8.0,8.0,7.0,7,7,4,1,4,1,40.0,2.0,7.69,1.68,0.3,0.2,12.9,7.0,203,2,1,4,3.0,0.0
80,14875.0,3718.75,4815.0,1383.0,1575.3,4,8.0,0.0,8.0,8.0,5.0,5,5,1,0,2,1,25.0,0.0,6.9,2.79,0.75,0.0,15.75,5.25,129,71,0,3,1.0,0.0
81,20282.0,2535.25,4077.0,99.0,1312.66,8,3.0,0.0,3.0,3.0,8.0,8,8,2,1,3,2,25.0,3.03,8.33,4.51,0.38,0.38,11.5,7.19,192,11,1,4,4.0,0.0
82,15031.0,3757.75,4907.0,2600.0,968.24,4,4.0,0.0,4.0,4.0,8.0,8,8,0,2,2,0,0.0,50.0,3.7,0.0,0.0,0.25,3.25,3.4,131,1,2,2,3.0,0.0
83,15720.0,2245.71,4572.0,558.0,1589.71,7,6.0,0.0,6.0,6.0,2.0,2,2,3,2,2,0,42.86,4.01,3.71,0.0,0.0,0.29,4.14,3.02,184,17,2,3,3.0,0.0
84,22828.0,2853.5,4578.0,282.0,1641.86,8,2.0,0.0,2.0,2.0,5.0,5,5,3,0,2,3,37.5,0.0,4.4,6.01,0.0,0.25,11.62,10.68,178,2,0,3,4.0,0.0
85,10414.0,2082.8,3682.0,700.0,1169.36,5,7.0,0.0,7.0,7.0,10.0,10,10,2,1,1,1,40.0,2.22,2.12,2.03,0.8,0.4,11.6,5.13,135,13,1,4,4.0,0.0
86,11973.0,2394.6,4546.0,401.0,1568.26,5,2.0,0.0,2.0,2.0,8.0,8,8,2,1,1,1,40.0,2.22,2.12,2.03,0.6,0.2,14.2,3.27,145,59,1,4,4.0,0.0
87,11480.0,1640.0,3042.0,148.0,1209.18,7,5.0,0.0,5.0,5.0,3.0,3,3,1,1,3,2,14.29,4.7,11.54,5.33,0.71,0.14,11.43,4.86,166,34,1,4,1.0,0.0
89,2318.0,1159.0,1218.0,1100.0,83.44,2,9.0,0.0,9.0,9.0,3.0,3,3,0,1,0,1,0.0,50.0,0.0,1.92,0.0,0.0,15.5,10.61,33,39,1,2,3.0,0.0
90,15559.0,2593.17,4007.0,1369.0,1155.98,6,2.0,0.0,2.0,2.0,6.0,6,6,1,1,1,3,16.67,4.41,3.69,9.75,0.67,0.33,15.0,4.34,173,33,1,4,4.0,0.0
91,9780.0,3260.0,4548.0,2366.0,1143.11,3,7.0,0.0,7.0,7.0,2.0,2,2,1,2,0,0,33.33,5.51,0.0,0.0,0.0,0.33,10.33,10.41,96,61,2,2,2.0,0.0
92,11939.0,2387.8,3996.0,1263.0,1160.99,5,7.0,0.0,7.0,7.0,6.0,6,6,2,1,1,1,40.0,2.22,2.12,2.03,0.2,0.2,14.8,9.01,139,21,1,4,2.0,0.0
93,6254.0,2084.67,3858.0,483.0,1694.04,3,7.0,0.0,7.0,7.0,6.0,6,6,0,1,1,1,0.0,33.33,2.75,2.56,0.33,0.33,11.33,10.6,108,6,1,3,2.0,0.0
94,7010.0,3505.0,4264.0,2746.0,1073.39,2,1.0,0.0,1.0,1.0,8.0,8,8,1,0,0,1,50.0,0.0,0.0,1.92,0.5,0.5,18.5,6.36,18,177,0,2,3.0,0.0
95,21748.0,2718.5,4921.0,458.0,1359.57,8,8.0,0.0,8.0,8.0,5.0,5,5,1,2,2,3,12.5,9.76,6.61,8.14,0.12,0.25,5.0,3.46,179,5,2,4,3.0,0.0
96,9522.0,2380.5,3566.0,626.0,1266.27,4,2.0,0.0,2.0,2.0,1.0,1,1,0,3,1,0,0.0,75.0,1.27,0.0,0.0,0.0,11.75,9.98,151,4,3,2,1.0,0.0
97,10806.0,2161.2,4670.0,124.0,1823.42,5,5.0,0.0,5.0,5.0,8.0,8,8,1,1,1,2,20.0,4.0,3.45,6.16,0.8,0.0,9.6,5.18,183,0,1,4,1.0,0.0
98,2536.0,1268.0,2460.0,76.0,1685.74,2,2.0,0.0,2.0,2.0,9.0,9,9,2,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,13.0,14.14,132,51,0,1,4.0,0.0
99,12878.0,2575.6,3801.0,1029.0,1052.2,5,5.0,0.0,5.0,5.0,1.0,1,1,4,0,0,1,80.0,0.0,0.0,1.18,0.6,0.4,9.2,4.87,170,4,0,2,3.0,0.0
100,5850.0,1462.5,2760.0,919.0,872.27,4,7.0,0.0,7.0,7.0,5.0,5,5,1,1,1,1,25.0,3.45,3.08,2.81,0.25,0.0,9.5,9.68,106,9,1,4,3.0,0.0
101,1552.0,1552.0,1552.0,1552.0,0.0,1,6.0,0.0,6.0,6.0,6.0,6,6,0,1,0,0,0.0,100.0,0.0,0.0,0.0,1.0,6.0,0.0,0,139,1,1,4.0,0.0
102,9005.0,4502.5,4845.0,4160.0,484.37,2,5.0,0.0,5.0,5.0,4.0,4,4,0,1,0,1,0.0,50.0,0.0,1.92,0.0,0.5,21.0,1.41,39,162,1,2,1.0,0.0
103,20527.0,2565.88,4451.0,373.0,1592.51,8,4.0,0.0,4.0,4.0,2.0,2,2,1,0,1,6,12.5,0.0,4.88,23.64,0.5,0.12,10.38,7.89,173,32,0,3,2.0,0.0
104,17691.0,2948.5,4739.0,1639.0,1179.13,6,8.0,0.0,8.0,8.0,5.0,5,5,2,2,2,0,33.33,5.09,4.5,0.0,0.33,0.17,14.5,5.75,117,84,2,3,3.0,0.0
105,12515.0,1787.86,3456.0,766.0,991.01,7,8.0,0.0,8.0,8.0,4.0,4,4,1,1,1,4,14.29,4.7,3.85,13.4,0.43,0.43,13.43,6.19,144,64,1,4,3.0,0.0
106,18226.0,2025.11,4834.0,104.0,1610.07,9,1.0,0.0,1.0,1.0,7.0,7,7,2,1,2,4,22.22,3.2,5.81,9.94,0.44,0.11,12.78,4.66,204,2,1,4,5.0,0.0
107,9201.0,1533.5,3413.0,200.0,1238.12,6,10.0,0.0,10.0,10.0,6.0,6,6,2,1,2,1,33.33,2.54,4.78,2.14,0.5,0.67,12.5,5.61,197,5,1,4,1.0,0.0
108,22922.0,3274.57,4370.0,1956.0,1062.94,7,2.0,0.0,2.0,2.0,3.0,3,3,4,0,3,0,57.14,0.0,4.68,0.0,0.43,0.14,14.71,7.3,168,30,0,2,1.0,0.0
109,7492.0,1498.4,4549.0,72.0,1996.94,5,3.0,0.0,3.0,3.0,9.0,9,9,1,2,1,1,20.0,8.0,3.03,2.78,0.2,0.4,11.6,9.04,133,75,2,4,3.0,0.0
110,5303.0,1325.75,3099.0,519.0,1201.24,4,1.0,0.0,1.0,1.0,4.0,4,4,2,0,1,1,50.0,0.0,1.85,1.79,0.25,0.25,5.0,4.08,158,31,0,3,2.0,0.0
111,13866.0,2311.0,4203.0,321.0,1548.97,6,6.0,0.0,6.0,6.0,5.0,5,5,2,2,2,0,33.33,5.09,4.5,0.0,0.33,0.33,8.17,6.21,180,15,2,3,3.0,0.0
112,15824.0,2260.57,4141.0,807.0,1238.57,7,10.0,0.0,10.0,10.0,3.0,3,3,3,1,2,1,42.86,2.01,3.86,1.79,0.43,0.57,9.71,6.47,132,42,1,4,4.0,0.0
113,21835.0,2729.38,4844.0,169.0,1678.34,8,8.0,0.0,8.0,8.0,8.0,8,8,2,2,2,2,25.0,6.06,5.12,4.53,0.5,0.12,9.5,6.7,145,52,2,4,3.0,0.0
114,3761.0,1880.5,2680.0,1081.0,1130.66,2,4.0,0.0,4.0,4.0,7.0,7,7,1,1,0,0,50.0,1.92,0.0,0.0,0.0,0.0,4.5,2.12,30,56,1,2,2.0,0.0
115,5187.0,1296.75,2460.0,54.0,1074.49,4,7.0,0.0,7.0,7.0,7.0,7,7,0,2,2,0,0.0,50.0,3.7,0.0,0.25,0.25,12.25,7.72,151,9,2,2,3.0,0.0
116,22409.0,3201.29,4858.0,2374.0,1112.55,7,7.0,0.0,7.0,7.0,8.0,8,8,3,1,2,1,42.86,2.01,3.86,1.79,0.43,0.29,11.0,7.68,184,21,1,4,1.0,0.0
117,23698.0,2962.25,4497.0,1489.0,1207.85,8,5.0,0.0,5.0,5.0,7.0,7,7,0,4,2,2,0.0,50.0,3.45,3.25,0.38,0.38,11.0,6.63,104,20,4,3,4.0,0.0
118,10669.0,3556.33,4551.0,1833.0,1498.36,3,6.0,0.0,6.0,6.0,3.0,3,3,1,2,0,0,33.33,5.51,0.0,0.0,0.67,0.0,11.0,6.93,79,57,2,2,3.0,0.0
119,8152.0,2717.33,3957.0,894.0,1612.76,3,10.0,0.0,10.0,10.0,3.0,3,3,0,2,0,1,0.0,66.67,0.0,1.44,0.67,0.33,11.67,5.13,89,12,2,2,4.0,0.0
120,12990.0,1855.71,4486.0,121.0,1428.77,7,4.0,0.0,4.0,4.0,2.0,2,2,2,1,1,3,28.57,2.81,2.61,7.32,0.14,0.14,14.43,8.02,172,18,1,4,3.0,0.0
121,6941.0,3470.5,4272.0,2669.0,1133.49,2,7.0,0.0,7.0,7.0,1.0,1,1,0,0,2,0,0.0,0.0,100.0,0.0,0.0,0.0,20.5,0.71,115,77,0,1,4.0,0.0
122,22732.0,2841.5,4586.0,847.0,1283.45,8,5.0,0.0,5.0,5.0,5.0,5,5,2,2,2,2,25.0,6.06,5.12,4.53,0.25,0.25,11.12,6.64,189,10,2,4,3.0,0.0
123,9326.0,2331.5,4265.0,792.0,1640.9,4,2.0,0.0,2.0,2.0,4.0,4,4,0,0,1,3,0.0,0.0,25.0,10.34,0.25,0.0,19.25,2.99,155,17,0,2,3.0,0.0
124,1017.0,1017.0,1017.0,1017.0,0.0,1,8.0,0.0,8.0,8.0,2.0,2,2,0,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0.0,0,183,1,1,3.0,0.0
125,12811.0,4270.33,4927.0,3739.0,603.84,3,2.0,0.0,2.0,2.0,1.0,1,1,0,0,0,3,0.0,0.0,0.0,100.0,0.33,0.67,8.0,3.0,145,28,0,1,2.0,0.0
