Customer_ID,Total_Spending,Avg_Transaction_Amount,Transaction_Count,Avg_Satisfaction,Avg_Likelihood_to_Recommend,Pct_Business_Hours,Pct_Weekend_Transactions,Cluster
37,11775.0,1962.5,6,4.0,2.0,0.33,0.33,1
38,26319.0,2924.33,9,6.0,2.0,0.22,0.11,0
39,26202.0,2620.2,10,1.0,7.0,0.3,0.2,0
40,6511.0,1627.75,4,6.0,10.0,0.5,0.25,1
41,16246.0,4061.5,4,3.0,10.0,0.25,0.5,2
42,9132.0,2283.0,4,9.0,3.0,0.25,0.25,1
43,5050.0,1010.0,5,4.0,1.0,0.2,0.4,1
44,9153.0,2288.25,4,7.0,9.0,0.25,0.0,1
45,11109.0,2777.25,4,4.0,3.0,0.25,0.25,1
46,8310.0,1187.14,7,6.0,1.0,0.29,0.43,1
47,19663.0,2457.88,8,7.0,6.0,0.12,0.38,0
48,11357.0,2839.25,4,2.0,4.0,0.0,0.5,2
49,6676.0,2225.33,3,10.0,1.0,0.0,0.33,1
50,7730.0,1288.33,6,6.0,4.0,0.17,0.33,1
51,13557.0,2259.5,6,8.0,8.0,0.33,0.5,2
52,23619.0,2952.38,8,6.0,7.0,0.12,0.38,0
53,16540.0,3308.0,5,6.0,1.0,0.2,0.6,2
55,19847.0,3307.83,6,1.0,9.0,0.5,0.17,0
56,11486.0,2297.2,5,7.0,6.0,0.2,0.2,1
57,2570.0,1285.0,2,8.0,2.0,0.5,0.0,1
58,6288.0,1572.0,4,10.0,3.0,0.25,0.25,1
59,28720.0,3590.0,8,2.0,7.0,0.12,0.25,0
60,2784.0,1392.0,2,10.0,3.0,0.0,0.0,1
61,1848.0,924.0,2,5.0,3.0,0.5,0.0,1
62,7112.0,1422.4,5,8.0,5.0,0.2,0.2,1
63,8502.0,2125.5,4,8.0,3.0,0.25,0.25,1
64,4518.0,4518.0,1,5.0,3.0,1.0,0.0,3
65,7665.0,1916.25,4,8.0,5.0,0.75,0.0,3
66,17008.0,2429.71,7,6.0,5.0,0.29,0.43,0
67,17507.0,2917.83,6,5.0,9.0,0.0,0.33,0
68,15692.0,2241.71,7,4.0,1.0,0.14,0.14,0
69,11484.0,1914.0,6,5.0,1.0,0.0,0.33,1
70,6152.0,2050.67,3,4.0,9.0,0.0,0.33,1
71,12508.0,1786.86,7,1.0,5.0,0.43,0.29,0
72,23293.0,3882.17,6,3.0,4.0,0.17,0.17,0
73,12600.0,2100.0,6,8.0,2.0,0.67,0.17,3
74,7363.0,1051.86,7,7.0,9.0,0.43,0.29,1
75,9301.0,3100.33,3,7.0,6.0,0.33,0.0,3
76,5693.0,2846.5,2,3.0,9.0,0.5,0.0,3
77,15111.0,2158.71,7,9.0,5.0,0.29,0.29,0
78,25838.0,2870.89,9,6.0,4.0,0.22,0.33,0
79,30179.0,3017.9,10,8.0,7.0,0.3,0.2,0
80,14875.0,3718.75,4,8.0,5.0,0.75,0.0,3
81,20282.0,2535.25,8,3.0,8.0,0.38,0.38,0
82,15031.0,3757.75,4,4.0,8.0,0.0,0.25,2
83,15720.0,2245.71,7,6.0,2.0,0.0,0.29,0
84,22828.0,2853.5,8,2.0,5.0,0.0,0.25,0
85,10414.0,2082.8,5,7.0,10.0,0.8,0.4,3
86,11973.0,2394.6,5,2.0,8.0,0.6,0.2,3
87,11480.0,1640.0,7,5.0,3.0,0.71,0.14,3
89,2318.0,1159.0,2,9.0,3.0,0.0,0.0,1
90,15559.0,2593.17,6,2.0,6.0,0.67,0.33,3
91,9780.0,3260.0,3,7.0,2.0,0.0,0.33,2
92,11939.0,2387.8,5,7.0,6.0,0.2,0.2,1
93,6254.0,2084.67,3,7.0,6.0,0.33,0.33,1
94,7010.0,3505.0,2,1.0,8.0,0.5,0.5,2
95,21748.0,2718.5,8,8.0,5.0,0.12,0.25,0
96,9522.0,2380.5,4,2.0,1.0,0.0,0.0,1
97,10806.0,2161.2,5,5.0,8.0,0.8,0.0,3
98,2536.0,1268.0,2,2.0,9.0,0.0,0.0,1
99,12878.0,2575.6,5,5.0,1.0,0.6,0.4,3
100,5850.0,1462.5,4,7.0,5.0,0.25,0.0,1
101,1552.0,1552.0,1,6.0,6.0,0.0,1.0,2
102,9005.0,4502.5,2,5.0,4.0,0.0,0.5,2
103,20527.0,2565.88,8,4.0,2.0,0.5,0.12,0
104,17691.0,2948.5,6,8.0,5.0,0.33,0.17,0
105,12515.0,1787.86,7,8.0,4.0,0.43,0.43,0
106,18226.0,2025.11,9,1.0,7.0,0.44,0.11,0
107,9201.0,1533.5,6,10.0,6.0,0.5,0.67,2
108,22922.0,3274.57,7,2.0,3.0,0.43,0.14,0
109,7492.0,1498.4,5,3.0,9.0,0.2,0.4,1
110,5303.0,1325.75,4,1.0,4.0,0.25,0.25,1
111,13866.0,2311.0,6,6.0,5.0,0.33,0.33,0
112,15824.0,2260.57,7,10.0,3.0,0.43,0.57,0
113,21835.0,2729.38,8,8.0,8.0,0.5,0.12,0
114,3761.0,1880.5,2,4.0,7.0,0.0,0.0,1
115,5187.0,1296.75,4,7.0,7.0,0.25,0.25,1
116,22409.0,3201.29,7,7.0,8.0,0.43,0.29,0
117,23698.0,2962.25,8,5.0,7.0,0.38,0.38,0
118,10669.0,3556.33,3,6.0,3.0,0.67,0.0,3
119,8152.0,2717.33,3,10.0,3.0,0.67,0.33,3
120,12990.0,1855.71,7,4.0,2.0,0.14,0.14,0
121,6941.0,3470.5,2,7.0,1.0,0.0,0.0,1
122,22732.0,2841.5,8,5.0,5.0,0.25,0.25,0
123,9326.0,2331.5,4,2.0,4.0,0.25,0.0,1
124,1017.0,1017.0,1,8.0,2.0,0.0,0.0,1
125,12811.0,4270.33,3,2.0,1.0,0.33,0.67,2
126,4171.0,4171.0,1,8.0,3.0,1.0,0.0,3
127,7813.0,2604.33,3,2.0,6.0,0.33,0.33,2
128,12388.0,3097.0,4,5.0,2.0,0.0,0.0,1
129,17920.0,3584.0,5,4.0,10.0,0.4,0.6,2
130,13153.0,4384.33,3,1.0,7.0,0.33,0.33,3
131,15541.0,3108.2,5,8.0,7.0,0.4,0.2,3
132,8478.0,1695.6,5,10.0,3.0,0.4,0.0,1
133,6624.0,1656.0,4,3.0,1.0,0.5,0.5,1
134,8267.0,2066.75,4,4.0,9.0,0.0,0.75,2
135,9408.0,2352.0,4,4.0,5.0,0.0,0.0,1
136,22198.0,3699.67,6,5.0,2.0,0.33,0.17,0
137,3520.0,3520.0,1,3.0,8.0,1.0,0.0,3
138,7340.0,2446.67,3,9.0,10.0,0.33,0.67,2
139,5581.0,2790.5,2,4.0,10.0,0.5,0.5,2
140,3528.0,3528.0,1,10.0,4.0,1.0,0.0,3
141,11646.0,2911.5,4,4.0,10.0,0.25,0.25,3
142,24363.0,3480.43,7,6.0,7.0,0.14,0.14,0
143,9366.0,2341.5,4,8.0,5.0,0.0,0.5,2
144,10382.0,3460.67,3,7.0,3.0,0.33,0.67,2
145,12295.0,1756.43,7,4.0,10.0,0.43,0.57,2
146,12493.0,2498.6,5,4.0,8.0,0.6,0.0,3
147,5190.0,1297.5,4,5.0,2.0,0.75,0.25,1
148,18354.0,2294.25,8,10.0,1.0,0.25,0.12,0
149,34396.0,2866.33,12,5.0,5.0,0.17,0.33,0
150,14793.0,3698.25,4,1.0,4.0,0.25,0.25,3
151,12631.0,3157.75,4,8.0,10.0,0.0,0.25,2
152,22796.0,3256.57,7,10.0,7.0,0.43,0.0,0
153,14655.0,2931.0,5,5.0,9.0,0.4,0.2,3
154,15514.0,2585.67,6,3.0,6.0,0.33,0.17,0
155,16752.0,2792.0,6,3.0,1.0,0.0,0.33,0
156,22256.0,2782.0,8,4.0,8.0,0.38,0.25,0
157,8350.0,2087.5,4,7.0,2.0,0.5,0.75,2
158,12497.0,2499.4,5,5.0,4.0,0.6,0.4,3
159,8296.0,2765.33,3,1.0,3.0,0.33,0.0,3
160,6309.0,2103.0,3,5.0,6.0,0.0,0.33,1
161,28531.0,2377.58,12,5.0,2.0,0.42,0.25,0
162,12887.0,1841.0,7,6.0,5.0,0.29,0.0,0
163,737.0,737.0,1,7.0,9.0,0.0,1.0,2
164,12567.0,3141.75,4,5.0,3.0,0.25,0.0,3
165,13925.0,3481.25,4,2.0,2.0,0.75,0.25,3
166,9306.0,2326.5,4,2.0,2.0,0.5,0.0,3
167,10262.0,1710.33,6,4.0,9.0,0.33,0.33,1
168,7771.0,1295.17,6,1.0,6.0,0.5,0.67,2
169,21372.0,2374.67,9,7.0,2.0,0.22,0.44,0
170,1702.0,1702.0,1,1.0,3.0,1.0,0.0,3
171,3641.0,1820.5,2,3.0,1.0,0.5,1.0,2
172,17092.0,2441.71,7,10.0,2.0,0.43,0.43,0
173,10760.0,2690.0,4,7.0,2.0,0.5,0.5,2
174,5613.0,1871.0,3,6.0,2.0,0.33,0.67,2
175,16274.0,2324.86,7,7.0,7.0,0.14,0.43,0
176,10166.0,2541.5,4,5.0,3.0,0.25,0.25,1
177,11113.0,1852.17,6,8.0,4.0,0.17,0.17,1
178,11780.0,1963.33,6,6.0,2.0,0.33,0.17,1
179,8134.0,2033.5,4,4.0,5.0,0.25,0.5,2
180,11064.0,2212.8,5,1.0,9.0,0.6,0.2,3
181,10698.0,2674.5,4,2.0,9.0,0.5,0.25,3
182,4709.0,2354.5,2,6.0,7.0,1.0,0.0,3
183,13940.0,2323.33,6,4.0,8.0,0.33,0.0,3
184,14820.0,2470.0,6,3.0,5.0,0.17,0.5,2
185,15906.0,2272.29,7,7.0,5.0,0.43,0.43,0
186,18257.0,2608.14,7,7.0,3.0,0.57,0.43,0
187,5919.0,1973.0,3,2.0,6.0,0.33,0.33,1
188,10912.0,2728.0,4,8.0,1.0,0.0,0.25,1
189,19216.0,2135.11,9,1.0,3.0,0.33,0.33,0
190,5175.0,2587.5,2,10.0,2.0,0.5,0.0,3
191,16531.0,2755.17,6,7.0,7.0,0.33,0.17,0
192,17200.0,2457.14,7,10.0,9.0,0.29,0.14,0
193,21112.0,3016.0,7,1.0,4.0,0.57,0.43,0
194,21814.0,2726.75,8,3.0,7.0,0.12,0.5,0
195,18041.0,3608.2,5,3.0,8.0,0.4,0.2,3
196,13945.0,2324.17,6,10.0,10.0,0.33,0.17,0
197,7851.0,2617.0,3,2.0,2.0,0.33,0.67,2
198,17538.0,2923.0,6,10.0,7.0,0.33,0.0,0
199,10680.0,2670.0,4,5.0,3.0,1.0,0.0,3
200,4422.0,2211.0,2,4.0,8.0,1.0,0.5,3
201,7618.0,1523.6,5,6.0,6.0,0.2,0.2,1
202,29806.0,2980.6,10,2.0,3.0,0.1,0.3,0
203,15901.0,2650.17,6,4.0,8.0,0.33,0.17,0
204,7810.0,1952.5,4,7.0,3.0,0.5,0.0,1
205,8272.0,2757.33,3,1.0,9.0,0.33,0.33,2
206,3450.0,1725.0,2,3.0,3.0,0.5,0.5,1
207,20991.0,3498.5,6,1.0,1.0,0.0,0.5,0
208,8592.0,2148.0,4,2.0,2.0,0.25,0.0,1
209,3819.0,954.75,4,9.0,4.0,0.5,0.25,1
210,11518.0,3839.33,3,10.0,2.0,1.0,0.0,3
211,10456.0,2614.0,4,5.0,4.0,0.25,0.25,1
212,4204.0,2102.0,2,4.0,4.0,0.5,0.0,1
213,4766.0,953.2,5,4.0,4.0,0.4,0.2,1
214,11440.0,2288.0,5,8.0,1.0,0.6,0.4,3
215,13713.0,2285.5,6,3.0,9.0,0.5,0.33,3
216,15663.0,2610.5,6,4.0,10.0,0.33,0.17,0
217,19007.0,2375.88,8,2.0,7.0,0.38,0.25,0
218,10346.0,2586.5,4,6.0,2.0,0.0,0.5,2
219,10575.0,1762.5,6,9.0,3.0,0.17,0.5,1
220,17741.0,2534.43,7,4.0,8.0,0.29,0.29,0
221,7280.0,3640.0,2,6.0,7.0,0.0,0.5,2
222,23154.0,3859.0,6,4.0,4.0,0.5,0.5,0
223,10797.0,1799.5,6,2.0,4.0,0.17,0.5,2
224,9272.0,2318.0,4,6.0,9.0,0.75,0.0,3
225,11296.0,2824.0,4,7.0,5.0,0.25,0.0,3
226,7757.0,3878.5,2,4.0,5.0,0.0,0.5,2
227,9941.0,1988.2,5,6.0,7.0,0.6,0.2,3
228,13969.0,2328.17,6,8.0,1.0,0.33,0.0,0
229,5974.0,1991.33,3,3.0,3.0,0.0,0.33,1
230,11144.0,2228.8,5,2.0,2.0,0.2,0.4,2
231,7034.0,1406.8,5,5.0,10.0,0.8,0.6,2
232,15353.0,3838.25,4,2.0,6.0,0.0,0.0,3
233,10936.0,2187.2,5,10.0,6.0,0.4,0.8,2
234,13926.0,2321.0,6,5.0,10.0,0.5,0.17,3
235,7797.0,3898.5,2,10.0,1.0,0.0,0.0,3
236,14063.0,2343.83,6,6.0,6.0,0.5,0.17,3
237,4888.0,4888.0,1,8.0,10.0,1.0,0.0,3
238,3267.0,1633.5,2,6.0,2.0,0.5,0.0,1
239,8082.0,2020.5,4,4.0,4.0,0.25,0.25,1
240,13699.0,1957.0,7,3.0,6.0,0.57,0.14,0
241,18421.0,2302.62,8,2.0,3.0,0.5,0.25,0
242,15706.0,3926.5,4,1.0,3.0,0.25,0.5,2
243,12097.0,2419.4,5,2.0,3.0,0.2,0.4,2
244,25356.0,2535.6,10,2.0,4.0,0.6,0.3,0
245,20364.0,2545.5,8,5.0,9.0,0.38,0.12,0
246,13095.0,1636.88,8,9.0,4.0,0.38,0.25,0
247,12176.0,2029.33,6,1.0,4.0,0.67,0.33,3
248,8430.0,2810.0,3,4.0,4.0,0.0,0.0,1
249,16771.0,3354.2,5,10.0,7.0,0.6,0.6,2
250,6732.0,2244.0,3,7.0,5.0,0.0,0.67,2
251,4497.0,1499.0,3,10.0,2.0,0.0,0.0,1
252,3454.0,1727.0,2,3.0,7.0,0.0,0.5,1
253,13723.0,2287.17,6,8.0,3.0,0.17,0.33,0
254,16947.0,3389.4,5,3.0,1.0,0.6,0.4,3
255,9699.0,2424.75,4,8.0,9.0,0.5,0.25,3
256,4900.0,1633.33,3,2.0,5.0,0.0,0.0,1
257,10457.0,2091.4,5,5.0,10.0,0.2,0.8,2
258,20083.0,3347.17,6,4.0,1.0,0.33,0.17,0
259,24962.0,3566.0,7,9.0,1.0,0.43,0.43,0
260,24476.0,2719.56,9,3.0,1.0,0.11,0.33,0
261,10994.0,2198.8,5,5.0,9.0,0.4,0.2,3
262,22368.0,3195.43,7,10.0,8.0,0.14,0.29,0
263,13666.0,1952.29,7,9.0,6.0,0.29,0.29,0
264,4269.0,1067.25,4,6.0,10.0,0.25,0.0,1
265,10912.0,2182.4,5,2.0,6.0,0.2,0.4,2
266,1636.0,818.0,2,1.0,6.0,0.0,0.0,1
267,15174.0,3034.8,5,1.0,4.0,0.8,0.6,2
268,1686.0,843.0,2,7.0,5.0,0.0,0.5,1
269,9061.0,1812.2,5,2.0,10.0,0.4,0.4,2
270,13914.0,2319.0,6,7.0,3.0,0.17,0.17,0
271,13787.0,1969.57,7,1.0,3.0,0.57,0.57,2
272,14685.0,2937.0,5,4.0,10.0,0.4,0.2,3
273,16307.0,2329.57,7,10.0,7.0,0.57,0.14,0
274,7614.0,1903.5,4,4.0,5.0,0.25,0.5,2
275,7098.0,1419.6,5,5.0,8.0,0.2,0.0,1
276,23797.0,2974.62,8,10.0,5.0,0.38,0.12,0
277,11538.0,2884.5,4,1.0,4.0,0.5,0.5,2
278,16540.0,2362.86,7,7.0,3.0,0.14,0.29,0
279,9164.0,1527.33,6,2.0,2.0,0.67,0.33,1
280,4335.0,2167.5,2,2.0,3.0,0.5,0.0,1
281,25670.0,3667.14,7,8.0,7.0,0.14,0.29,0
282,2539.0,2539.0,1,9.0,8.0,0.0,0.0,1
283,16347.0,2724.5,6,6.0,5.0,0.5,0.0,3
284,9103.0,3034.33,3,1.0,1.0,0.0,0.0,1
285,16980.0,3396.0,5,1.0,3.0,0.2,0.0,3
286,14048.0,2006.86,7,7.0,4.0,0.57,0.29,0
287,10442.0,1740.33,6,8.0,10.0,0.33,0.33,1
288,19863.0,2837.57,7,3.0,4.0,0.43,0.29,0
289,6770.0,2256.67,3,9.0,1.0,0.33,0.33,1
290,24774.0,3096.75,8,4.0,10.0,0.25,0.38,0
291,3708.0,1854.0,2,4.0,9.0,0.5,0.0,1
292,5782.0,1927.33,3,3.0,10.0,0.67,0.67,2
293,7968.0,2656.0,3,8.0,4.0,0.33,0.33,1
294,13197.0,1885.29,7,9.0,2.0,0.14,0.14,0
295,19554.0,3259.0,6,1.0,9.0,0.17,0.17,0
296,13579.0,2715.8,5,2.0,4.0,0.0,0.6,2
297,22862.0,2857.75,8,1.0,4.0,0.62,0.5,0
298,13130.0,3282.5,4,4.0,6.0,0.75,0.0,3
299,8270.0,4135.0,2,10.0,8.0,0.5,0.5,3
300,9116.0,1823.2,5,7.0,5.0,0.6,0.0,3
301,19287.0,3857.4,5,7.0,8.0,0.0,0.6,2
302,17662.0,2523.14,7,6.0,1.0,0.14,0.43,0
303,11487.0,2297.4,5,5.0,4.0,0.2,0.6,2
304,15731.0,1966.38,8,4.0,1.0,0.25,0.12,0
305,12673.0,3168.25,4,8.0,3.0,0.75,0.75,2
306,8528.0,2842.67,3,7.0,7.0,0.0,0.0,1
307,17716.0,1968.44,9,10.0,1.0,0.22,0.56,0
308,26462.0,2646.2,10,1.0,5.0,0.2,0.5,0
309,7750.0,2583.33,3,6.0,1.0,0.67,0.0,3
310,15821.0,1977.62,8,2.0,6.0,0.38,0.38,0
311,5048.0,1682.67,3,4.0,9.0,0.0,0.33,1
312,20988.0,2998.29,7,5.0,3.0,0.29,0.29,0
313,8217.0,2054.25,4,8.0,6.0,0.0,0.25,1
314,10005.0,2501.25,4,6.0,4.0,0.75,0.5,3
315,4825.0,4825.0,1,2.0,6.0,0.0,0.0,3
316,17708.0,2951.33,6,5.0,2.0,0.33,0.0,0
317,9703.0,2425.75,4,5.0,4.0,0.75,0.5,2
318,9877.0,3292.33,3,6.0,7.0,0.33,0.0,3
319,7885.0,2628.33,3,1.0,6.0,0.33,0.33,2
320,19369.0,2421.12,8,8.0,9.0,0.62,0.12,0
321,16246.0,2707.67,6,3.0,7.0,0.33,0.5,2
322,5742.0,2871.0,2,5.0,1.0,0.0,1.0,2
323,2816.0,2816.0,1,7.0,6.0,0.0,0.0,1
324,2392.0,1196.0,2,3.0,3.0,0.0,0.0,1
325,13376.0,3344.0,4,10.0,8.0,0.5,0.25,3
326,6981.0,2327.0,3,6.0,1.0,0.33,0.33,1
327,3692.0,1846.0,2,5.0,10.0,1.0,0.5,3
328,8734.0,1746.8,5,7.0,2.0,0.4,0.6,2
329,18744.0,2677.71,7,10.0,3.0,0.14,0.29,0
330,18841.0,3140.17,6,3.0,3.0,0.67,0.17,3
331,13418.0,2236.33,6,2.0,7.0,0.33,0.0,3
332,6710.0,1677.5,4,4.0,8.0,0.5,0.25,1
333,20410.0,2551.25,8,3.0,9.0,0.12,0.25,0
334,9452.0,1890.4,5,4.0,7.0,0.2,0.2,1
335,13724.0,2744.8,5,7.0,8.0,0.4,0.6,2
336,9769.0,1395.57,7,5.0,6.0,0.29,0.14,1
337,18546.0,3091.0,6,4.0,2.0,0.17,0.17,0
338,25222.0,4203.67,6,6.0,1.0,0.5,0.33,0
339,12374.0,2062.33,6,7.0,3.0,0.67,0.5,2
340,13414.0,2682.8,5,5.0,9.0,0.4,0.4,2
341,11859.0,2964.75,4,7.0,7.0,0.5,0.5,2
342,24069.0,3008.62,8,3.0,2.0,0.25,0.0,0
343,10179.0,2035.8,5,7.0,1.0,0.2,0.2,1
344,3757.0,1252.33,3,3.0,2.0,0.33,0.33,1
345,14161.0,2360.17,6,6.0,3.0,0.17,0.0,0
346,15121.0,2520.17,6,8.0,6.0,0.5,0.5,0
347,12411.0,3102.75,4,6.0,9.0,0.75,0.0,3
348,14463.0,2410.5,6,6.0,8.0,0.33,0.5,2
349,11111.0,2222.2,5,3.0,10.0,0.0,0.2,1
350,19741.0,3948.2,5,5.0,9.0,0.2,0.2,0
351,29433.0,2675.73,11,9.0,8.0,0.18,0.55,0
352,13363.0,3340.75,4,8.0,7.0,0.75,0.0,3
353,6249.0,2083.0,3,6.0,6.0,0.33,0.0,1
354,10395.0,2598.75,4,9.0,8.0,0.75,0.0,3
355,4273.0,4273.0,1,2.0,6.0,1.0,0.0,3
356,15496.0,3099.2,5,9.0,2.0,0.2,0.4,0
357,22992.0,3284.57,7,10.0,9.0,0.29,0.43,0
358,1898.0,949.0,2,10.0,9.0,0.0,0.0,1
359,4150.0,1383.33,3,6.0,3.0,0.33,0.0,1
360,24567.0,3509.57,7,9.0,9.0,0.29,0.14,0
361,18701.0,2671.57,7,4.0,2.0,0.29,0.29,0
362,1884.0,628.0,3,5.0,3.0,0.67,0.67,1
363,25828.0,4304.67,6,2.0,6.0,0.17,0.67,0
364,9068.0,4534.0,2,3.0,4.0,0.5,0.0,3
365,15414.0,3082.8,5,1.0,8.0,0.6,0.6,2
366,14116.0,2823.2,5,4.0,1.0,0.4,0.4,2
367,10937.0,2734.25,4,2.0,6.0,0.5,0.25,3
368,18390.0,2627.14,7,2.0,2.0,0.57,0.43,0
369,12450.0,2490.0,5,1.0,6.0,0.2,0.2,1
370,15413.0,2201.86,7,10.0,1.0,0.14,0.14,0
371,9199.0,4599.5,2,2.0,2.0,0.5,0.5,2
372,26867.0,3358.38,8,4.0,9.0,0.12,0.38,0
373,17243.0,3448.6,5,6.0,6.0,0.2,0.4,0
374,13883.0,2313.83,6,7.0,8.0,0.67,0.33,3
375,7727.0,1931.75,4,7.0,7.0,0.75,0.75,2
376,18271.0,3045.17,6,7.0,9.0,0.17,0.5,0
377,3600.0,900.0,4,4.0,9.0,0.75,0.25,1
378,15605.0,1733.89,9,5.0,4.0,0.11,0.22,0
379,14620.0,2436.67,6,3.0,7.0,0.5,0.0,3
380,15311.0,3062.2,5,1.0,5.0,0.6,0.2,3
381,3078.0,1026.0,3,6.0,7.0,0.33,0.0,1
382,21058.0,3509.67,6,10.0,4.0,0.33,0.33,0
383,11248.0,2249.6,5,7.0,10.0,0.2,0.8,2
385,14357.0,3589.25,4,10.0,4.0,0.25,0.25,3
386,22013.0,4402.6,5,4.0,10.0,0.6,0.2,3
387,5697.0,1424.25,4,5.0,3.0,0.0,0.0,1
388,7296.0,2432.0,3,5.0,9.0,1.0,1.0,2
389,17320.0,2474.29,7,7.0,5.0,0.14,0.14,0
390,9314.0,2328.5,4,9.0,4.0,0.25,0.25,1
391,5000.0,2500.0,2,8.0,8.0,0.5,0.5,2
392,7497.0,3748.5,2,7.0,5.0,0.5,0.5,2
393,22365.0,3195.0,7,1.0,3.0,0.14,0.57,0
394,9007.0,2251.75,4,10.0,2.0,0.5,0.0,3
395,6365.0,1591.25,4,6.0,8.0,0.0,0.5,1
396,18779.0,3755.8,5,10.0,2.0,0.4,0.4,0
397,5862.0,1954.0,3,9.0,8.0,0.33,1.0,2
398,12016.0,3004.0,4,7.0,5.0,0.25,0.25,3
399,10507.0,2101.4,5,1.0,8.0,0.4,0.2,3
400,17925.0,3585.0,5,9.0,5.0,0.4,0.0,3
401,8722.0,2907.33,3,3.0,1.0,0.33,0.67,2
402,14498.0,2899.6,5,9.0,2.0,0.2,0.8,2
403,9454.0,3151.33,3,4.0,6.0,0.67,0.0,3
404,1607.0,803.5,2,9.0,3.0,0.5,0.5,1
405,15411.0,2201.57,7,8.0,8.0,0.57,0.14,0
406,7306.0,1826.5,4,7.0,5.0,0.0,0.75,2
407,9619.0,1923.8,5,4.0,3.0,0.2,0.4,1
408,10491.0,3497.0,3,9.0,10.0,0.33,0.33,3
409,9757.0,1951.4,5,4.0,7.0,0.4,0.2,1
410,21226.0,3537.67,6,1.0,8.0,0.5,0.17,0
411,6534.0,3267.0,2,6.0,4.0,0.0,0.0,1
412,13370.0,2228.33,6,4.0,9.0,0.67,0.0,3
413,15730.0,2621.67,6,10.0,6.0,0.5,0.5,0
414,8002.0,4001.0,2,3.0,1.0,0.5,0.0,3
415,7291.0,1822.75,4,5.0,5.0,0.5,0.5,2
416,20005.0,2857.86,7,3.0,5.0,0.71,0.29,0
418,7703.0,3851.5,2,6.0,7.0,0.5,1.0,2
419,20828.0,2314.22,9,3.0,6.0,0.11,0.44,0
420,17112.0,1901.33,9,5.0,8.0,0.33,0.67,0
421,9665.0,2416.25,4,8.0,2.0,0.5,0.25,3
422,17450.0,3490.0,5,8.0,7.0,0.2,0.6,2
423,20042.0,2226.89,9,6.0,10.0,0.44,0.11,0
424,16860.0,2408.57,7,5.0,7.0,0.57,0.43,0
425,7728.0,3864.0,2,5.0,4.0,0.5,1.0,2
426,11997.0,2999.25,4,1.0,10.0,0.0,0.0,3
427,5750.0,2875.0,2,2.0,2.0,0.0,0.0,1
428,15648.0,1738.67,9,4.0,4.0,0.11,0.33,0
429,15482.0,3096.4,5,6.0,4.0,0.8,0.2,3
430,7856.0,2618.67,3,7.0,6.0,0.33,0.0,3
431,7209.0,2403.0,3,1.0,7.0,0.33,0.33,2
432,10258.0,1709.67,6,8.0,3.0,0.17,0.17,1
434,13171.0,4390.33,3,9.0,1.0,0.33,0.0,3
435,11883.0,1980.5,6,4.0,3.0,0.17,0.33,1
436,6518.0,3259.0,2,7.0,9.0,0.0,0.5,2
437,13008.0,2601.6,5,6.0,1.0,0.2,0.2,1
