Customer_ID,Total_Spending,Avg_Transaction_Amount,Max_Transaction,Min_Transaction,Std_Transaction_Amount,Median_Transaction,Transaction_Count,Avg_Satisfaction,Std_Satisfaction,Min_Satisfaction,Max_Satisfaction,Avg_Likelihood_to_Recommend,Min_Likelihood,Max_Likelihood,Avg_Feedback_Sentiment,Std_Feedback_Sentiment,Pct_Business_Hours,Pct_Weekend_Transactions,Pct_Morning_Transactions,Pct_Evening_Transactions,Avg_Hour_of_Day,Std_Hour_of_Day,Count_Bill Payment,Count_Investment,Count_Loan Payment,Count_Purchase,Primary_Income_Group
109,7492.0,1498.4,4549.0,72.0,1996.94,186.0,5,3.0,0.0,3.0,3.0,9.0,9,9,3.0,0.0,0.2,0.4,0.0,0.4,11.6,9.04,1,2,1,1,Low
110,5303.0,1325.75,3099.0,519.0,1201.24,842.5,4,1.0,0.0,1.0,1.0,4.0,4,4,2.0,0.0,0.25,0.25,0.25,0.0,5.0,4.08,2,0,1,1,Low
111,13866.0,2311.0,4203.0,321.0,1548.97,1942.5,6,6.0,0.0,6.0,6.0,5.0,5,5,3.0,0.0,0.33,0.33,0.33,0.0,8.17,6.21,2,2,2,0,Medium
112,15824.0,2260.57,4141.0,807.0,1238.57,2307.0,7,10.0,0.0,10.0,10.0,3.0,3,3,4.0,0.0,0.43,0.57,0.43,0.14,9.71,6.47,3,1,2,1,Medium
113,21835.0,2729.38,4844.0,169.0,1678.34,2608.5,8,8.0,0.0,8.0,8.0,8.0,8,8,3.0,0.0,0.5,0.12,0.12,0.12,9.5,6.7,2,2,2,2,High
114,3761.0,1880.5,2680.0,1081.0,1130.66,1880.5,2,4.0,0.0,4.0,4.0,7.0,7,7,2.0,0.0,0.0,0.0,0.5,0.0,4.5,2.12,1,1,0,0,Low
115,5187.0,1296.75,2460.0,54.0,1074.49,1336.5,4,7.0,0.0,7.0,7.0,7.0,7,7,3.0,0.0,0.25,0.25,0.25,0.25,12.25,7.72,0,2,2,0,Low
116,22409.0,3201.29,4858.0,2374.0,1112.55,2613.0,7,7.0,0.0,7.0,7.0,8.0,8,8,1.0,0.0,0.43,0.29,0.29,0.29,11.0,7.68,3,1,2,1,High
117,23698.0,2962.25,4497.0,1489.0,1207.85,3206.5,8,5.0,0.0,5.0,5.0,7.0,7,7,4.0,0.0,0.38,0.38,0.38,0.25,11.0,6.63,0,4,2,2,High
118,10669.0,3556.33,4551.0,1833.0,1498.36,4285.0,3,6.0,0.0,6.0,6.0,3.0,3,3,3.0,0.0,0.67,0.0,0.0,0.0,11.0,6.93,1,2,0,0,Medium
119,8152.0,2717.33,3957.0,894.0,1612.76,3301.0,3,10.0,0.0,10.0,10.0,3.0,3,3,4.0,0.0,0.67,0.33,0.33,0.0,11.67,5.13,0,2,0,1,Medium
120,12990.0,1855.71,4486.0,121.0,1428.77,1588.0,7,4.0,0.0,4.0,4.0,2.0,2,2,3.0,0.0,0.14,0.14,0.29,0.57,14.43,8.02,2,1,1,3,Medium
121,6941.0,3470.5,4272.0,2669.0,1133.49,3470.5,2,7.0,0.0,7.0,7.0,1.0,1,1,4.0,0.0,0.0,0.0,0.0,1.0,20.5,0.71,0,0,2,0,Low
122,22732.0,2841.5,4586.0,847.0,1283.45,2806.5,8,5.0,0.0,5.0,5.0,5.0,5,5,3.0,0.0,0.25,0.25,0.25,0.25,11.12,6.64,2,2,2,2,High
123,9326.0,2331.5,4265.0,792.0,1640.9,2134.5,4,2.0,0.0,2.0,2.0,4.0,4,4,3.0,0.0,0.25,0.0,0.0,0.75,19.25,2.99,0,0,1,3,Medium
124,1017.0,1017.0,1017.0,1017.0,,1017.0,1,8.0,,8.0,8.0,2.0,2,2,3.0,,0.0,0.0,0.0,0.0,5.0,,0,1,0,0,Low
125,12811.0,4270.33,4927.0,3739.0,603.84,4145.0,3,2.0,0.0,2.0,2.0,1.0,1,1,2.0,0.0,0.33,0.67,0.67,0.0,8.0,3.0,0,0,0,3,Medium
126,4171.0,4171.0,4171.0,4171.0,,4171.0,1,8.0,,8.0,8.0,3.0,3,3,3.0,,1.0,0.0,0.0,0.0,15.0,,1,0,0,0,Low
127,7813.0,2604.33,3817.0,1558.0,1138.65,2438.0,3,2.0,0.0,2.0,2.0,6.0,6,6,2.0,0.0,0.33,0.33,0.0,0.33,12.33,10.5,0,0,2,1,Medium
128,12388.0,3097.0,4048.0,1909.0,960.55,3215.5,4,5.0,0.0,5.0,5.0,2.0,2,2,2.0,0.0,0.0,0.0,0.0,0.75,16.5,9.71,0,3,1,0,Medium
129,17920.0,3584.0,4766.0,2334.0,937.07,3443.0,5,4.0,0.0,4.0,4.0,10.0,10,10,3.0,0.0,0.4,0.6,0.2,0.0,8.4,6.5,0,3,2,0,High
130,13153.0,4384.33,4952.0,3424.0,836.26,4777.0,3,1.0,0.0,1.0,1.0,7.0,7,7,1.0,0.0,0.33,0.33,0.67,0.33,13.33,8.74,1,1,1,0,Medium
131,15541.0,3108.2,4361.0,2038.0,1086.11,2529.0,5,8.0,0.0,8.0,8.0,7.0,7,7,2.0,0.0,0.4,0.2,0.2,0.2,12.6,6.73,0,1,2,2,Medium
132,8478.0,1695.6,3883.0,170.0,1906.51,493.0,5,10.0,0.0,10.0,10.0,3.0,3,3,3.0,0.0,0.4,0.0,0.0,0.4,17.4,2.7,0,2,1,2,Medium
133,6624.0,1656.0,3607.0,21.0,1671.37,1498.0,4,3.0,0.0,3.0,3.0,1.0,1,1,5.0,0.0,0.5,0.5,0.25,0.5,15.75,5.12,3,0,0,1,Low
134,8267.0,2066.75,3138.0,1047.0,1049.1,2041.0,4,4.0,0.0,4.0,4.0,9.0,9,9,1.0,0.0,0.0,0.75,0.5,0.25,10.25,8.02,0,4,0,0,Medium
135,9408.0,2352.0,4643.0,940.0,1643.98,1912.5,4,4.0,0.0,4.0,4.0,5.0,5,5,5.0,0.0,0.0,0.0,0.25,0.5,16.75,6.95,1,1,2,0,Medium
136,22198.0,3699.67,4632.0,2132.0,1063.86,4111.0,6,5.0,0.0,5.0,5.0,2.0,2,2,2.0,0.0,0.33,0.17,0.67,0.33,12.5,6.75,1,3,1,1,High
